Sample ID,Sample Name,Donor,Cell Type,Study Design,Study Design Batch,Treatment
1,D4_INT_EPI_GL_C,D4,GUT EPI,INTERACTION (INT) GUT-LIVER (GL),INTERACTION (INT) GUT-LIVER (GL),NO TREATMENT
2,D4_ISO2_EPI_1,D4,GUT EPI,ISOLATION (ISO) PURE,ISOLATION (ISO) ONLY GUT-1,NO TREATMENT
3,D4_ISO2_EPI_2,D4,GUT EPI,ISOLATION (ISO) PURE,ISOLATION (ISO) ONLY GUT-2,NO TREATMENT
4,D3_INT_EPI_GL_C,D3,GUT EPI,INTERACTION (INT) GUT-LIVER (GL),INTERACTION (INT) GUT-LIVER (GL),NO TREATMENT
5,D3_ISO2_EPI_1,D3,GUT EPI,ISOLATION (ISO) PURE,ISOLATION (ISO) ONLY GUT-1,NO TREATMENT
6,D3_ISO2_EPI_2,D3,GUT EPI,ISOLATION (ISO) PURE,ISOLATION (ISO) ONLY GUT-2,NO TREATMENT
7,D4_INT_EPIi_PI_1,D4,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,POLY IC
8,D4_INT_EPIi_PI_2,D4,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,POLY IC
9,D4_ISO2_HEP_1,D4,LIVER HEP,ISOLATION (ISO) PURE,ISOLATION (ISO)- ONLY LIVER HEP-1,NO TREATMENT
10,D4_INT_EPIi_LPS_2,D4,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,LPS
11,D4_INT_EPIi_5OP_1,D4,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,5OP-RU
12,D4_INT_EPIi_5OP_2,D4,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,5OP-RU
13,D4_INT_EPIi_C_1,D4,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,NO TREATMENT
14,D4_INT_EPIi_C_2,D4,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,NO TREATMENT
15,D3_INT_EPIi_PI_1,D3,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,POLY IC
16,D3_INT_EPIi_PI_2,D3,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,POLY IC
17,D3_INT_EPIi_LPS_1,D3,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,LPS
18,D3_INT_EPIi_LPS_2,D3,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,LPS
19,D3_INT_EPIi_5OP_1,D3,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,5OP-RU
20,D3_INT_EPIi_5OP_2,D3,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,5OP-RU
21,D3_INT_EPIi_C_1,D3,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,NO TREATMENT
22,D3_INT_EPIi_C_2,D3,GUT EPI and GUT EPI CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,NO TREATMENT
23,D4_ISO1_EPIi_1,D4,GUT EPI and GUT EPI CD45+,ISOLATION (ISO) LOCAL COCULTURE,ISOLATION (ISO) GUT-IMMUNE CELLS-1,NO TREATMENT
24,D4_ISO1_EPIi_2,D4,GUT EPI and GUT EPI CD45+,ISOLATION (ISO) LOCAL COCULTURE,ISOLATION (ISO) GUT-IMMUNE CELLS-2,NO TREATMENT
