"","D3_INT_EPI_GL_C","D3_INT_EPIi_5OP_1","D3_INT_EPIi_5OP_2","D3_INT_EPIi_C_1","D3_INT_EPIi_C_2","D3_INT_EPIi_LPS_1","D3_INT_EPIi_LPS_2","D3_INT_EPIi_PI_1","D3_INT_EPIi_PI_2","D3_INT_HEP_5OP_1","D3_INT_HEP_5OP_2","D3_INT_HEP_C_1","D3_INT_HEP_C_2","D3_INT_HEP_GL_C","D3_INT_HEP_LPS_1","D3_INT_HEP_LPS_2","D3_INT_HEP_PI_1","D3_INT_HEP_PI_2","D3_INT_LP_5OP_1","D3_INT_LP_5OP_2","D3_INT_LP_C_1","D3_INT_LP_C_2","D3_INT_LP_LPS_1","D3_INT_LP_LPS_2","D3_INT_LP_PI_1","D3_INT_LP_PI_2","D3_INT_LTL_5OP_1","D3_INT_LTL_5OP_2","D3_INT_LTL_C_1","D3_INT_LTL_C_2","D3_INT_LTL_LPS_1","D3_INT_LTL_LPS_2","D3_INT_LTL_PI_1","D3_INT_LTL_PI_2","D3_ISO1_EPIi_1","D3_ISO1_EPIi_2","D3_ISO1_HEP_L_1","D3_ISO1_HEP_L_2","D3_ISO1_LP_1","D3_ISO1_LP_2","D3_ISO1_LTL_1","D3_ISO1_LTL_2","D3_ISO2_EPI_1","D3_ISO2_EPI_2","D3_ISO2_HEP_1","D3_ISO2_HEP_2","D3_ISO6_LP_1","D3_ISO6_LP_2","D3_ISO6_LTL_1","D3_ISO6_LTL_2","D3_ISO7_IEL_1","D3_ISO7_IEL_2","D4_INT_EPI_GL_C","D4_INT_EPIi_5OP_1","D4_INT_EPIi_5OP_2","D4_INT_EPIi_C_1","D4_INT_EPIi_C_2","D4_INT_EPIi_LPS_1","D4_INT_EPIi_LPS_2","D4_INT_EPIi_PI_1","D4_INT_EPIi_PI_2","D4_INT_HEP_5OP_1","D4_INT_HEP_5OP_2","D4_INT_HEP_C_1","D4_INT_HEP_C_2","D4_INT_HEP_GL_C","D4_INT_HEP_LPS_1","D4_INT_HEP_LPS_2","D4_INT_HEP_PI_1","D4_INT_HEP_PI_2","D4_INT_LP_5OP_1","D4_INT_LP_5OP_2","D4_INT_LP_C_1","D4_INT_LP_C_2","D4_INT_LP_LPS_1","D4_INT_LP_LPS_2","D4_INT_LP_PI_1","D4_INT_LP_PI_2","D4_INT_LTL_5OP_1","D4_INT_LTL_5OP_2","D4_INT_LTL_C_1","D4_INT_LTL_C_2","D4_INT_LTL_LPS_1","D4_INT_LTL_LPS_2","D4_INT_LTL_PI_1","D4_INT_LTL_PI_2","D4_ISO1_EPIi_1","D4_ISO1_EPIi_2","D4_ISO1_HEP_L_1","D4_ISO1_HEP_L_2","D4_ISO1_LP_1","D4_ISO1_LP_2","D4_ISO1_LTL_1","D4_ISO1_LTL_2","D4_ISO2_EPI_1","D4_ISO2_EPI_2","D4_ISO2_HEP_1","D4_ISO2_HEP_2","D4_ISO6_LP_1","D4_ISO6_LP_2","D4_ISO6_LTL_1","D4_ISO6_LTL_2","D4_ISO7_IEL_1","D4_ISO7_IEL_2"
"ENSG00000000003_TSPAN6",1076,2729,2471,2290,2055,2440,2273,3762,3052,1010,1573,989,1044,807,841,1367,801,808,0,1,147,1,0,66,13,0,27,103,18,0,4,0,0,0,5522,3966,654,720,2,4,8,6,1178,1783,735,895,14,16,21,52,0,0,2365,3106,3935,3978,3469,1946,2928,2865,3198,652,2188,893,87,221,678,40,840,1641,0,0,0,0,0,0,0,0,0,0,0,53,2,0,0,0,3846,4441,81,32,14,0,5,3,2345,2107,27,31,0,0,0,0,0,0
"ENSG00000000005_TNMD",35,13,23,41,55,33,21,25,30,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,34,21,1,4,0,0,0,0,24,13,1,2,2,3,0,0,0,0,3,6,8,8,12,16,6,7,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,53,0,1,0,0,0,0,22,26,0,1,0,0,0,0,0,0
"ENSG00000000419_DPM1",184,319,255,361,322.83,234.86,246.62,296,302,506.32,733.24,529,485.7,465.87,425.42,753.24,320,253.09,2,69,40,128,87,79,102,0,48,71,64,35,18,26,0,17,218,185,517.51,503.33,179.16,1022,88,29,173,324,492,467,75,85,89,53,123,219,269,274,345.3,424.07,367,215.28,283,291,307.05,849,2240,1115,79,1370,750,51.37,496,1030,73,0,94,114,0,0,0,0,0,0,0,130,0,23,0,0,248,299,79.15,68,2226,0,1,1329,216,201,58,60,1361,361,195,235,0,0
"ENSG00000000457_SCYL3",326,653.48,498.75,639.65,512.38,618.32,469.12,793.74,626.81,325.52,421.1,293.12,313.45,153.78,298.85,310.24,211.59,178.21,0,25,222,0,0,0,9,0,11,0,13,0,16.94,18,0,0,875.53,516.58,250.77,313.87,73.21,836.74,17,23,307.68,475.78,167.07,223.35,8.99,15.31,15.13,28,128,2,497.53,740.3,918.67,820.77,825.99,383.42,665.14,685.43,639.11,154.96,529.17,170,85.94,0,157.52,27.73,300.53,30,0,0,0,0,1,407,1,0,0,0,0,0,0,1,0,102,716.55,831.28,56.28,30.27,405,0,140,332.28,416.32,522.1,31.81,20.66,628,140,402,195,0,0
"ENSG00000000460_FIRRM",9,2.52,33.25,34.35,40.62,15.68,53.88,10.26,3.19,133.48,145.9,119.88,98.55,104.22,87.15,159.76,119.41,28.79,0,0,0,0,0,0,0,0,0,0,0,34,42.06,0,59,0,49.47,61.42,138.23,126.13,98.79,385.26,0,35,15.32,33.22,142.93,174.65,10.01,5.69,3.87,12,36,0,10.47,24.7,18.33,33.23,46.01,13.58,32.86,49.57,34.89,64.04,177.83,0,39.06,0,5.48,10.27,109.47,21,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,39.45,29.72,23.72,21.73,0,0,0,132.72,6.68,36.9,14.19,20.34,0,74,0,0,0,0
"ENSG00000000938_FGR",0,0,0,0,0,0,0,1,0,22,26,39,13,15,62,30,24,13,0,0,0,0,0,0,0,0,15,28,5,51,42,19,67,164,0,1,280,422,13,84,85,17,0,0,130,222,16,14,16,49,0,0,0,0,0,0,0,0,0,0,0,72,90,303,69,0,83,9,112,0,0,1,1,0,176,0,0,1,0,0,0,0,2,1,0,0,0,0,22,33,1,0,771,1,0,1,23,29,0,0,0,172,0,0
"ENSG00000000971_CFH",0,0,0,0,0,0,0,1,0,7785.28,12168.74,7395.55,7967.26,4181.62,8217.49,10873.77,5939.19,4920.61,78,71,0,125,176,0,89,34,58,41,72,53,253,10,44,45,41,0,10819.69,13788.22,32.5,143,103,49,0,0,6997.95,9611.3,131,87.08,129,99.94,300,118,1,7.25,5,0,8,2,2,1,4,4525.2,12093.94,5375.94,776.29,978.73,3323.99,287.68,7389.8,5468.62,219,0,42,154,77,0,0,0,0,0,36,0,32,0,0,29,0,1,1172.03,407.78,0,0,1,0,1,4,334.39,267.49,133,85,0,596,0,0
"ENSG00000001036_FUCA2",932.91,1176.84,1085.84,1704.82,1508.54,1194.98,1351.2,1651.55,1551.73,2004.34,2819.71,1817.3,1806.49,1752.75,1758.86,2077.36,1613.93,1841.98,0,32,0,0,0,0,0,0,2.62,24,10,3,16,0,0,0,765.85,628.96,1493.76,1574.5,58,274.96,38,52,599.46,893.19,1388.79,1805.95,6,9,3.25,7,0,163,712,1136.9,1245.97,1492.94,1385.13,938.93,1062.87,1058.75,1225.95,587,976,944.82,191.91,202,727,49.57,496,474,0,0,0,0,10,0,0,0,0,0,50,0,0,0,0,0,779.99,1102.84,97,37.62,5,0,2.5,87,857.99,1103.8,52.47,38.52,0,0,0,0,0,0
"ENSG00000001084_GCLC",4827.99,5882.99,5695.99,9974.99,7770.98,6521.85,6276,8695.98,8966,1803,2704,1721,1531,1420,1602.99,1986.5,1346.91,1140,4,0,53,40,47,0,8,58,77,73,59,58,22,0,1,0,1407,857.99,1222,1397.98,167,772,42,120.98,934.99,1433,1394,1660,47.34,63,68,55,0,73,4502.94,6525,9761.99,9932,6738.99,5134.97,6611,6257,7469.99,490.29,1471,966,306,0,609.88,111,1162,890,0,0,43,25,86,0,0,0,0,269,10,0,0,0,0,1,643,586,183.46,84,424,0,203,54,1046,843,104,95,311,1030,0,1429,0,0
"ENSG00000001167_NFYA",315,675,464.91,663,630,588.58,526,734,684,971,1098,806,761,708,783.84,1232,582.34,534,150,2,205,17,0,0,126,61,82,47,64,79,160,84,19,136,705,502,625,739.74,371,1959.99,309,261,349,662,601,695,85.9,93.54,81,103,140,474,729,925,1102,981,1050,528,841.63,687,860,376,1153,824,215.55,411,297,75,522,385,211,0,25,99,0,2,1397,1,0,0,0,3,0,0,3,1,726,848,129,106.65,887,386,467,1507,889,683,98,74.44,2562,0,0,1024,0,1838
