"","D4_INT_EPI_GL_C","D4_ISO2_EPI_1","D4_ISO2_EPI_2","D3_INT_EPI_GL_C","D3_ISO2_EPI_1","D3_ISO2_EPI_2","D4_INT_EPIi_PI_1","D4_INT_EPIi_PI_2","D4_ISO2_HEP_1","D4_INT_EPIi_LPS_2","D4_INT_EPIi_5OP_1","D4_INT_EPIi_5OP_2","D4_INT_EPIi_C_1","D4_INT_EPIi_C_2","D3_INT_EPIi_PI_1","D3_INT_EPIi_PI_2","D3_INT_EPIi_LPS_1","D3_INT_EPIi_LPS_2","D3_INT_EPIi_5OP_1","D3_INT_EPIi_5OP_2","D3_INT_EPIi_C_1","D3_INT_EPIi_C_2","D4_ISO1_EPIi_1","D4_ISO1_EPIi_2","D3_ISO1_EPIi_1","D3_ISO1_EPIi_2","D3_ISO6_LP_1","D3_ISO6_LP_2","D3_ISO6_LTL_1","D3_ISO6_LTL_2","D3_ISO7_IEL_1","D3_ISO7_IEL_2","D4_ISO1_HEP_L_1","D4_ISO1_HEP_L_2","D4_ISO2_HEP_2","D3_ISO1_HEP_L_1","D3_ISO1_HEP_L_2","D3_ISO2_HEP_1","D3_ISO2_HEP_2","D4_INT_EPIi_LPS_1","D4_INT_HEP_PI_1","D4_INT_HEP_PI_2","D4_INT_HEP_LPS_1","D4_INT_HEP_LPS_2","D4_INT_HEP_5OP_1","D4_INT_HEP_5OP_2","D4_INT_HEP_C_1","D4_INT_HEP_C_2","D4_INT_HEP_GL_C","D3_INT_HEP_PI_1","D3_INT_HEP_PI_2","D3_INT_HEP_LPS_1","D3_INT_HEP_LPS_2","D3_INT_HEP_5OP_1","D3_INT_HEP_5OP_2","D3_INT_HEP_C_1","D3_INT_HEP_C_2","D3_INT_HEP_GL_C","D4_ISO1_LP_1","D4_ISO1_LP_2","D4_ISO1_LTL_1","D4_ISO1_LTL_2","D3_ISO1_LP_1","D3_ISO1_LP_2","D3_ISO1_LTL_1","D3_ISO1_LTL_2","D4_INT_LP_PI_1","D4_INT_LP_PI_2","D4_INT_LP_LPS_1","D4_INT_LP_LPS_2","D4_INT_LP_5OP_1","D4_INT_LP_5OP_2","D4_INT_LP_C_1","D4_INT_LP_C_2","D3_INT_LP_PI_1","D3_INT_LP_PI_2","D3_INT_LP_LPS_1","D3_INT_LP_LPS_2","D3_INT_LP_5OP_1","D3_INT_LP_5OP_2","D3_INT_LP_C_1","D3_INT_LP_C_2","D3_INT_LTL_PI_1","D3_INT_LTL_PI_2","D3_INT_LTL_LPS_1","D3_INT_LTL_LPS_2","D3_INT_LTL_5OP_1","D3_INT_LTL_5OP_2","D3_INT_LTL_C_1","D3_INT_LTL_C_2","D4_INT_LTL_PI_1","D4_INT_LTL_PI_2","D4_INT_LTL_LPS_1","D4_INT_LTL_LPS_2","D4_INT_LTL_5OP_1","D4_INT_LTL_5OP_2","D4_INT_LTL_C_1","D4_INT_LTL_C_2","D4_ISO6_LP_1","D4_ISO6_LP_2","D4_ISO6_LTL_1","D4_ISO6_LTL_2","D4_ISO7_IEL_1","D4_ISO7_IEL_2"
"TSPAN6",12.35,10.49,9.28,7.14,9.21,9.94,10.34,10.94,3.48,9.41,9.28,10.14,11.36,11.91,10.82,9.82,9.51,8.48,11.03,13.24,11.61,10.62,24.3,19.5,26.78,29.43,7.16,4.27,9.67,6.74,0,0,5.61,4.65,5.59,5.5,5.39,7.33,6.49,12.57,6.86,14.73,6.82,5.88,7.18,10.95,10,3.8,2.21,4.94,5.2,4.62,4.46,4.4,4.76,4.89,5.01,4.5,0.06,0,0.07,0.02,0.15,0.04,0.8,0.38,0,0,0,0,0,0,0,0,4.04,0,0,2.26,0,0.02,0.82,0,0,0,0.48,0,11.46,5.84,2.87,0,0,0,0.29,0,0,0,0,2.41,0,0,0,0,0,0
"TNMD",0.11,0.79,0.39,0.83,0.63,0.26,0.09,0.23,0,0.07,0.06,0.07,0.08,0.31,0.35,0.35,0.47,0.28,0.18,0.42,0.74,1.46,0.4,1.12,0.54,0.55,2.14,7.7,0,0,0,0,0,0.52,1.3,0.09,0.11,0.04,0.05,0.49,0,0,0,0.45,0,0,0,0.16,0,0,0,0,0,0,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DPM1",5.97,4,3.32,4.84,5.11,7.23,4.33,4.06,13.35,3.73,3.29,3.72,4.99,5.1,3.26,3.94,3.83,3.61,5.28,5.32,7.41,6.58,6.36,4.97,3.74,5.14,45.87,52.61,35.83,24.69,18.6,85.3,16.81,22.85,17.59,15.6,14.79,19.08,13.72,5.76,18.29,38.68,32.32,15.79,40.53,48.07,39.9,11.31,60.82,8.11,8.15,9.4,9.92,8.73,9.09,10.57,9.39,10.51,42.3,0,0.05,36.96,17.92,20.75,22.88,6.07,0,0,0,0,9.21,0,2.53,15.42,113.2,0,16.46,3.47,0.38,4.28,0.28,1.49,0,2.78,3.92,6.29,25.21,9.6,28.61,5.44,0,0,0,0.85,0,0,0,13.87,72.82,12.76,15.64,5.78,0,0
"SCYL3",2.69,1.77,2.17,2.05,2.15,2.56,2.35,2.19,1.92,2.07,2.2,2.55,2.4,2.89,2.16,1.86,2.36,1.7,2.7,2.69,3.32,2.67,4.48,3.45,3.92,3.83,2.05,2.88,5.63,3.58,8.82,0.54,3.03,3.17,2.11,1.78,2.28,1.63,1.64,2.46,3.25,0.16,1.6,2.14,0.98,1.85,1.46,3.35,0,1.4,1.6,1.53,1.09,1.5,1.4,1.46,1.55,0.95,4.93,0,0.92,1.22,1.75,4.43,1.29,0.92,0.06,0,0.72,3.64,0,0,0,0,1.62,0,0,0,0,0.74,1.53,0,0,0,2.71,1.98,8.37,0,1.2,0,0,4.93,0,0.01,0,0,0,0,3.3,2,8.99,0.95,0,0
"C1orf112",0.05,0.07,0.81,0.3,0.27,0.41,0.26,0.15,1.27,0.28,0.09,0.05,0.11,0.26,0.03,0.04,0.08,0.28,0.01,0.28,0.36,0.2,0.44,0.21,0.23,0.56,3.81,1.26,0.91,1.48,1.83,0,2.67,2.93,2.35,1.49,1.68,1.93,1.65,0.12,4.82,0.18,0.25,1.15,0.67,3.51,0,1.85,0,1.17,0.16,0.65,0.69,0.97,0.59,0.67,0.69,0.67,0,0,0,0.82,3.03,2.42,0,16.25,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42,0,5.05,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0
"FGR",0,0,0.01,0,0,0,0,0,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,16.45,13.23,13.51,15.24,0,0,4.17,13.6,8.8,3.46,5.02,2.51,2.73,0,1.55,0,1.24,3.23,1.18,0.85,10.37,5.48,0,0.34,0.14,0.65,0.16,0.14,0.16,0.32,0.09,0.26,0.01,0,12.7,0.01,0.73,0.91,6.92,1.61,0,0.17,142.05,0,0,0.05,0.02,0,0,0,0,0,0,0,0,0,9.29,10.23,7.66,14.81,14.6,8.53,6.56,24.83,0,0,0.43,0.02,0,0,0,0,0,0,0,1.54,0,0
"CFH",0.01,0.01,0.03,0,0,0,0,0.02,37.67,0.02,0.03,0.02,0,0.07,0,0,0,0,0,0,0,0,0,0.01,0.22,0,38.57,18.66,31.97,12.14,8.11,10.36,88.92,64.66,34.71,96.98,119.81,80.13,80.11,0.03,80.98,81.74,55.53,41.06,79.87,90.52,66.13,43.98,12.48,46.27,40.13,57.81,45.43,45.39,50.53,51.59,51.82,30.56,0,0,0.02,0,1.07,0.87,7.2,5.29,0,0,60.69,0,33.16,0,0.28,9.99,28.29,1.94,9.53,0,4.81,0.86,0,0.19,5.18,0.87,33.89,0.99,16.1,1.26,8.12,8.14,0,0.38,2.46,0,0,0,0.19,0,0.63,1.36,0,5.37,0,0
"FUCA2",6.04,6.1,7.39,10.05,7.22,8.12,6.34,6.65,9.62,5.65,5.45,5.36,6.98,7.65,7.5,8.17,7.69,8.42,7.64,9.39,14.17,12.53,7.87,7.51,5.53,7.14,6.54,8.07,1.25,6.61,0,26.24,11.19,15.42,7.96,19.6,19.38,22.6,21.51,10.06,6.76,7.07,12.52,11.34,10.75,11.16,12.92,16,18.5,16.35,19.43,15.81,11.08,14.39,14.02,14.73,14.05,16.13,0.05,0,0.05,0.89,2.74,3.19,3.08,5.54,0,0,36.52,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,3.2,0,1.2,2.25,2.63,2.5,0,0,0,0,0,0,4.42,0,0,0,0,0,0,0
"GCLC",37.82,9.82,6.93,56.1,12.66,15.27,39.21,42.35,16.68,36.23,36.44,48.49,52.56,41.96,48.34,50.7,48.88,43.04,39.87,52.42,95.1,70.73,8.87,5.79,10.63,7.69,24.45,20.97,31.57,22.76,0,7.05,30.42,17.97,19.59,14.93,15.96,25.79,20.81,56.03,25.33,9.16,8.22,33.31,6.08,10.86,10.14,43.02,0,14.94,13.45,18.27,12.01,18.71,16.58,13.51,12.75,14.75,13.61,0,29.45,2.16,7.53,11.47,3.32,9.11,0,0,71.58,0,0,0,0.52,1.63,2.48,3.84,6.77,0,0.31,0,0.49,0.12,0.97,0,2.66,0,27.6,44.02,25.99,8.78,0,0.03,0,0,0,7.89,0.46,0,3.29,118.44,0,11.76,0,0
"NFYA",3.5,4.33,3.62,2.8,2.13,4.84,2.88,3.46,5.76,3.38,3.21,3.58,3.27,3.8,2.36,2.81,3.18,2.45,3.59,3.11,4.16,4.44,6.04,4.6,4.35,4.94,16.34,15.27,11.14,7.96,4.26,26.93,6.67,10.6,5.55,5.69,7.18,7.68,5.71,4.3,3.73,2.03,2.43,6.39,2.43,5.78,4.6,6.39,2.42,4.24,4.32,5.92,5.31,5.8,4.26,4.72,5.11,5.3,2.24,8.99,11.83,9.35,13.73,14.01,9.26,9.9,92.19,0.07,0,0.02,7.66,0,0.76,3.82,23.03,1.42,0,0,6.94,0.03,0.68,0.12,1.05,2.97,11.41,9.39,13.39,1.57,6.03,4.47,0.14,0.01,0,0,0,0,0,0.34,13.7,0,0,3.18,0,48.63
