GeneSymbol	D3_ISO7_IEL_1	D3_ISO7_IEL_2	D4_ISO7_IEL_1	D4_ISO7_IEL_2
TSPAN6	0	0	0	0
TNMD	0	0	0	0
DPM1	18.6	85.3	0	0
SCYL3	8.82	0.54	0	0
C1orf112	1.83	0	0	0
FGR	0	0	0	0
CFH	8.11	10.36	0	0
FUCA2	0	26.24	0	0
GCLC	0	7.05	0	0
NFYA	4.26	26.93	0	48.63
STPG1	0	0	0	0
NIPAL3	18.91	5.03	0	0
LAS1L	75.49	86.51	0	0
ENPP4	0	0	0	0
SEMA3F	13.12	0	0	0
CFTR	0	0	0	0
ANKIB1	127.42	0	0	0
CYP51A1	0	30.77	0	76.31
KRIT1	32.47	25.26	0	0
RAD52	0	9.74	0	0
MYH16_ENSG00000002079	4.06	0	0	0
BAD	0	0	0	0
LAP3	8.53	110.5	0	0
CD99	11.82	11.76	893.72	151.99
HS3ST1	0	0	0	0
AOC1	0	0	0	0
WNT16	0	0	0	0
HECW1	0.9	18.69	0	0
MAD1L1	119.28	8.86	0	0
LASP1	100.52	271.44	3287.09	33.11
SNX11	2.9	8.11	0	0
TMEM176A	0	0	0	0
M6PR	0	76.05	0	0
KLHL13	0	0	0	0
CYP26B1	0.05	11.26	0	0
ICA1	0	0	0	0
DBNDD1	0	0	0	0
ALS2	1.96	3.32	0	0
CASP10	5.09	0	0	0
CFLAR	155.72	19.15	0	21.29
TFPI	0	0	101.13	0
NDUFAF7	254.05	0.92	0	100.44
RBM5	412.06	863.51	406.11	304.15
MTMR7	0	0	0	0
SLC7A2	0	0	0	0
ARF5	1	0	0	0
SARM1	0	7.71	0	0
POLDIP2	13.03	17.82	0	0
PLXND1	0	0	0	0
AK2	50.42	16.69	0	0
CD38	0	12.25	0	0
FKBP4	48.01	109.23	0	53.41
KDM1A	64.44	21.94	0	0
RBM6	55.55	20.08	0	14.53
CAMKK1	0	0	0	11.5
RECQL	282.92	17.55	0	384.82
VPS50	6.23	89.63	0	0
HSPB6	0	0	0	0
ARHGAP33	0	0	0	0
NDUFAB1	121.58	0	0	0
PDK4	0	0	0	0
SLC22A16	0	0	0	0
ZMYND10	0	0	0	0
ABCB5	0	0	0	0
ARX	0	0	0	0
SLC25A13	0	0	0	0.61
ST7	0	70	0	0
CDC27	0	10.81	0	0
SLC4A1	0	0	0	0
CALCR	0	0	0	0
HCCS	0	28.03	0	35.87
DVL2	0	0	0	0
PRSS22	0	0	0	0
UPF1	87.37	0	0	0
SKAP2	0	26.94	0	106.36
SLC25A5	43.47	25.33	0	0
MCUB	0	0	0	0
HOXA11	0	0	0	0
POLR2J	114.85	0	0	0
DHX33	1.96	0	0	0
MEOX1	59.22	0	0	0
THSD7A	0.92	0	0	0
LIG3	18.86	53.73	0	0
RPAP3	0	38.4	0	167.7
ACSM3	0	0	0	0
REXO5	0	0	0	0
CIAPIN1	93.73	0	0	0
SPPL2B	0	0	0	0
FAM214B	0	12.7	0	0
COPZ2	0	0	0	0
PRKAR2B	0	0	0	0
MSL3	6.54	50.18	0	648.42
CREBBP	120.62	32.96	0	108.49
TSPOAP1	0	2.8	0	0
MPO	0	0	0	0
PON1	0	0	0	0
GCFC2	0.24	28.04	0	0
WDR54	172.9	0	0	0
CROT	0	0	0	14.89
ABCB4	0	43.17	0	0
KMT2E	66.8	48.44	0	76.39
RHBDD2	58.81	0	0	0
SOX8	0	0	0	0
IBTK	35.4	0	0	45.91
ZNF195	13.86	5.53	0	0
MYCBP2	103	83.08	97.46	7.07
FBXL3	0	0	0	0
ITGAL	94.85	246.17	0	404.75
PDK2	0.66	326.91	0	0
ITGA3	0	0	0	0
ZFX	0	0.05	119.42	0
LAMP2	3.41	0	0	0
ITGA2B	0	0	0	0
ASB4	0	0	0	0
GDE1	0	0	0	0
REX1BD	0.12	0	0	0
CRLF1	0	0	0	0
OSBPL7	0	0	0	0
TMEM98	0	0	0	0
YBX2	0	0	0	0
KRT33A	0	0	0	0
MAP3K14	0.09	0	0	0
ABCC8	0	34.14	0	0
CACNG3	0	0	0	0
TMEM132A	5.33	10.76	0	0
AP2B1	83.17	179.16	0	34.09
TAC1	0	0	0	0
ZNF263	1.19	0	0	0
CX3CL1	0	0	0	0
SPATA20	0	0	0	0
CACNA1G	0	0	0	0
TNFRSF12A	6.31	0	0	0
DLX6	0	0	0	0
MAP3K9	0	5.03	0	0
RALA	47.47	141.72	0	32.83
BAIAP2L1	0	0	0	0
KDM7A	8.52	6.7	0	0
ETV1	10.23	1.37	0	0
AGK	0	134.12	0	27.01
ALDH3B1	0	4.09	0	0
TTC22	19.35	0	0	0
PHTF2	16.86	112.1	0	0
CCL26	0	0	0	0
FARP2	16.36	147.25	0	0
USH1C	0	0	0	0
GGCT	39.57	15.24	0	0
DBF4	0	15.85	0	0
TBXA2R	0	0	0	0
IFRD1	0	0	0	0
LGALS14	0	0	0	0
COX10	0	0	0	0
GTF2IRD1	0	0	0	0
PAF1	34.79	289.17	0	0
VPS41	8.84	41.48	0	0
ARHGAP44	3.75	0	0	0
ELAC2	18.72	14.15	0	0
SCIN	0	8.58	0	0
ARSD	7.48	0	0	0
PNPLA4	12.3	0	0	0
MYH13	0	0	0	0
ADIPOR2	0	0	0	0
CDKL3	0	0	0	0
UPP2	0	10.36	0	0
PRSS21	0	0	0	0
MARK4	0	15.31	0	0
PROM1	0	0	0	0
CCDC124	25.79	0	0	0
CEACAM21	10.67	0	0	0
