GeneSymbol	D4_INT_EPIi_PI_1	D4_INT_EPIi_PI_2	D4_INT_EPIi_LPS_2	D4_INT_EPIi_5OP_1	D4_INT_EPIi_5OP_2	D4_INT_EPIi_C_1	D4_INT_EPIi_C_2	D3_INT_EPIi_PI_1	D3_INT_EPIi_PI_2	D3_INT_EPIi_LPS_1	D3_INT_EPIi_LPS_2	D3_INT_EPIi_5OP_1	D3_INT_EPIi_5OP_2	D3_INT_EPIi_C_1	D3_INT_EPIi_C_2	D4_ISO1_EPIi_1	D4_ISO1_EPIi_2	D3_ISO1_EPIi_1	D3_ISO1_EPIi_2	D4_INT_EPIi_LPS_1
TSPAN6	10.34	10.94	9.41	9.28	10.14	11.36	11.91	10.82	9.82	9.51	8.48	11.03	13.24	11.61	10.62	24.3	19.5	26.78	29.43	12.57
TNMD	0.09	0.23	0.07	0.06	0.07	0.08	0.31	0.35	0.35	0.47	0.28	0.18	0.42	0.74	1.46	0.4	1.12	0.54	0.55	0.49
DPM1	4.33	4.06	3.73	3.29	3.72	4.99	5.1	3.26	3.94	3.83	3.61	5.28	5.32	7.41	6.58	6.36	4.97	3.74	5.14	5.76
SCYL3	2.35	2.19	2.07	2.2	2.55	2.4	2.89	2.16	1.86	2.36	1.7	2.7	2.69	3.32	2.67	4.48	3.45	3.92	3.83	2.46
C1orf112	0.26	0.15	0.28	0.09	0.05	0.11	0.26	0.03	0.04	0.08	0.28	0.01	0.28	0.36	0.2	0.44	0.21	0.23	0.56	0.12
FGR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0
CFH	0	0.02	0.02	0.03	0.02	0	0.07	0	0	0	0	0	0	0	0	0	0.01	0.22	0	0.03
FUCA2	6.34	6.65	5.65	5.45	5.36	6.98	7.65	7.5	8.17	7.69	8.42	7.64	9.39	14.17	12.53	7.87	7.51	5.53	7.14	10.06
GCLC	39.21	42.35	36.23	36.44	48.49	52.56	41.96	48.34	50.7	48.88	43.04	39.87	52.42	95.1	70.73	8.87	5.79	10.63	7.69	56.03
NFYA	2.88	3.46	3.38	3.21	3.58	3.27	3.8	2.36	2.81	3.18	2.45	3.59	3.11	4.16	4.44	6.04	4.6	4.35	4.94	4.3
STPG1	1.65	1.72	1.89	1.92	1.42	2.04	2.02	2.26	2.62	2.52	2.1	2.63	3.11	3.21	2.79	2.89	1.64	2.02	1.88	2.7
NIPAL3	4.6	4.45	4.09	3.86	3.96	4.51	5.38	6.5	7.33	7.26	5.49	5.9	6.59	12.11	10.7	5	4.35	3.84	4.56	5.86
LAS1L	0.77	0.41	0.42	0.47	0.52	0.58	0.57	0.49	0.61	0.56	0.78	0.58	0.53	1.94	1.34	0.94	0.63	0.85	0.64	0.47
ENPP4	4.46	3.57	3.96	4.1	3.83	4.2	4.97	4.87	4.26	4.64	4.54	6.24	6.21	5.31	5.26	9.7	10.13	8.86	10.98	6.66
SEMA3F	0.9	1.02	1.15	0.8	0.89	0.83	1.08	0.67	0.84	1.48	1.48	1	1.16	3.05	3.9	2.6	1.5	2.37	2.42	1.25
CFTR	0.26	0.44	0.17	0.27	0.23	0.22	0.28	0.16	0.41	0.26	1.07	0.36	0.16	0.91	0.68	0.92	0.55	0.18	0.19	0.23
ANKIB1	12.52	9.21	9.27	10.33	7.88	9.71	13.27	10.96	7.8	7.58	8.98	10.8	10.67	11	16.28	17.56	13.74	12.43	14.16	16.09
CYP51A1	110.18	106.61	104	104.08	103.18	99.66	116.96	108.19	105.44	101.67	99.35	107.61	150.87	95.74	107.53	131.15	107.7	73.64	96.74	146.37
KRIT1	1.65	1.94	2.15	1.3	1.54	1.74	1.31	2.38	1.7	1.83	1.52	1.58	2.23	3.42	2.6	2.26	1.61	2.08	1.69	1.87
RAD52	0.58	0.25	0.51	0.27	0.34	0.95	0.22	0.38	0.11	0.67	0.62	0.28	0.28	1	0.45	0.78	0.56	0.16	0.47	0.72
MYH16_ENSG00000002079	0.07	0.08	0.18	0.2	0.17	0.16	0.17	0.01	0	0.05	0.07	0.07	0.13	0.05	0.03	0.16	0.15	0.06	0.16	0.14
BAD	9.41	10.01	8.72	9.38	8.68	6.76	5.21	1.95	4.61	5.06	7.33	2.91	1.41	2.99	3.38	1.71	1.71	2.5	9.62	8.71
LAP3	6.6	5.81	5.03	4.85	4.94	8.13	6.59	8.86	9.57	8.65	8.08	7.4	9.24	11.94	10.3	158.54	123.01	181.52	194.63	6.04
CD99	10.22	10.72	8.82	7.49	7.51	10.23	10.66	4.13	3.38	4.44	5.07	3.94	5.8	3.55	2.56	12.6	11.31	6.43	9.72	15.06
HS3ST1	0.41	0.41	0.31	0.42	0.33	0.25	0.35	0.41	0.33	0.5	0.55	0.37	0.25	1.16	1.03	0.43	0.3	0.34	0.56	0.56
AOC1	84.32	94.39	98.35	93.19	92	92.89	101.41	63.56	66.08	69.81	69.54	69.69	53.62	52.72	66.33	93.93	79.91	63.84	88.57	105.21
WNT16	0.01	0	0.01	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0.02
HECW1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAD1L1	2.19	2.6	2.12	2.18	1.78	2.18	1.47	1.56	2.17	3.03	1.69	1.73	2.46	5.23	4.76	3.27	1.61	3.01	3.51	2.14
LASP1	123.32	124.78	131.38	131.44	134	136.61	151.53	143.74	129.11	137.81	132.4	147.25	176.01	171.22	179.25	155.7	127.47	130.64	189.68	143.71
SNX11	1.49	1.68	2.09	1.68	2.27	1.62	1.99	1.78	1.54	1.44	0.95	1.39	1.18	2.38	2.72	1.41	2.2	1.55	2.49	1.34
TMEM176A	17.07	23.63	23.27	15.49	16.4	25.16	23.1	13.15	9.14	9.43	10.42	15.36	9.29	5.24	7.24	50.2	36.01	39.33	39.47	25.11
M6PR	1.3	1.73	1.26	1.19	0.91	1.17	1.73	1.56	1.8	2.15	1.24	1.58	1.82	4.88	3.29	1.54	1.44	1.63	2.63	2.96
KLHL13	0.01	0.02	0	0.01	0.06	0.02	0	0.01	0.01	0.01	0.01	0.03	0	0.01	0.01	0.05	0.03	0.06	0.42	0.03
CYP26B1	0.17	0.08	0.14	0.08	0.09	0.09	0.03	0.03	0.03	0.01	0.02	0.03	0.04	0.1	0.05	0.14	0.08	0.05	0.06	0.39
ICA1	5.57	4.5	4.28	5.69	4.97	5.61	6	8.84	5.08	7.5	5.36	6.87	8.9	8.55	5.88	5.47	4.11	6.12	7.66	6.34
DBNDD1	5.78	6.59	6.53	6.1	5.62	6.43	6.17	4.44	4.95	5.38	6.42	5.01	4.1	6.41	8.02	7.27	4.76	5.7	7.82	7.03
ALS2	1.37	1.59	1.4	1.34	1.57	1.66	1.71	1.72	1.53	1.57	1.4	2.21	2.05	1.97	1.96	1.38	1.66	1.91	1.78	1.94
CASP10	3.82	4.62	4.03	4.1	4.13	6.06	6.3	4.93	3.3	5.13	4.44	5.52	5.38	5.88	6.21	31.89	33.52	35.5	37.23	4.71
CFLAR	28.6	27	28.76	29.54	27.23	35.29	40.64	33.81	26.17	30.45	28.78	35.81	44.93	35.89	35.12	66.23	57.53	57.84	66.31	30.49
TFPI	64.81	57.71	52.58	54.08	56.22	56.88	78.81	40.48	35.03	32.48	35.25	37.74	40.56	34.36	31.83	65.23	55.74	36.48	50.72	79.85
NDUFAF7	0.98	1.24	0.47	0.5	0.77	0.73	0.93	1.29	0.95	1.7	1	1.1	2.91	3.31	2.67	0.77	0.56	0.83	1.06	0.97
RBM5	25.29	21.48	19.51	16.73	18.56	26.33	25.67	17.45	14.61	15.06	13.49	14.85	22.16	22.66	18.71	38.58	28.81	19.91	20.78	22.33
MTMR7	0.14	0.14	0.06	0.1	0.07	0.06	0.07	0.07	0.06	0.08	0.07	0.07	0.02	0.04	0.11	0.09	0.13	0.12	0.18	0.11
SLC7A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.05	0.01	0.05	0	0	0
ARF5	13.51	15.93	12.45	14.25	14.65	14.56	16.62	14.93	10.18	16.12	14.96	16.05	22.04	17.91	18.38	18.07	13.28	14.23	14.35	22.37
SARM1	0.11	0.16	0.22	0.16	0.33	0.18	0.12	0.14	0.49	0.43	0.33	0.35	0.71	0.45	0.25	0.06	0.16	0.26	0.14	0.11
POLDIP2	2.55	2.84	2.43	2.25	2.42	2.89	3.02	4.58	4.89	4.69	3.86	3.58	5.99	11.06	8.12	3.48	2.83	3.06	3.76	3.68
PLXND1	0.2	0.19	0.4	0.3	0.16	0.23	0.52	0.01	0.24	0.41	0.03	0.26	0.01	0	0.07	0.05	0.3	0.23	0.01	0.61
AK2	4.31	5.28	4.91	5.5	4.13	7.09	4.3	7.67	9.41	8.85	7.8	10.29	11.26	18.58	15.85	11.76	10.94	15.15	17.16	7.04
CD38	0.11	0.22	0	0	0	0.03	0	0.02	0.03	0	0	0	0	0	0	0	0.01	0.47	0.3	0
FKBP4	2.24	2.65	3.21	2.41	2.73	2.92	3.01	3.55	3.36	3.57	2.78	3.11	3.46	9.85	8.65	2.96	2.17	4.15	4.43	3.98
KDM1A	5.64	5.65	6.23	5.78	5.54	5.59	6.35	5.05	4.48	3.87	4.72	4.46	6.67	5.38	6.23	7.6	5.35	5.29	5.53	8.47
RBM6	4.95	4.42	4.55	3.54	3.69	4.93	6.25	3.94	3.08	3.92	3.82	5.62	5.14	6.91	5.84	7.79	4.01	3.6	3.34	6.91
CAMKK1	0.01	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.01	0	0.04	0.02	0.02	0.07	0.05	0	0.01	0.04	0	0
RECQL	1.39	1.14	1.31	1.2	1.08	1.35	1.43	1.04	0.98	0.79	0.77	0.69	1.78	2.06	1.56	3.12	1.43	1.63	0.98	2.03
VPS50	1.25	1.66	2.07	2.08	2.89	1.68	3.63	1.36	1.46	1.44	1.39	2.32	1.69	4.37	5.01	4.5	2.7	2.07	4.84	2.51
HSPB6	0.11	0.03	0.01	0.02	0.01	0.01	0.05	0.06	0.1	0.09	0.12	0	0.15	0.11	0.1	0.1	0.04	0.14	0.14	0.02
ARHGAP33	0.19	0.04	0.02	0.03	0	0.01	0.07	0	0.12	0.02	0.03	0.01	0	0	0	0	0.02	0	0	0.01
NDUFAB1	5.62	8.13	8	8.04	8.09	8.06	8.57	22.67	31.01	35.09	25.86	26.42	29.9	61.56	60.74	7.25	5.97	7.61	13.39	11.64
PDK4	31.08	21.36	24.7	32.19	28.33	21.8	30.73	45.9	35.85	31.11	36.84	36.72	53.75	19.22	22.08	15.28	12.06	10.61	18.28	40.55
SLC22A16	0.09	0.07	0.03	0.12	0	0.09	0.02	0.03	0.09	0.12	0.05	0.34	0.09	0	0.06	0.03	0.04	0	0.01	0.11
ZMYND10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02
SLC25A13	2.33	3.68	3.22	2.36	2.33	3.62	3.42	5.39	3.52	3.45	3.23	4.3	3.61	6.85	5.61	7.13	4.22	1.84	2.05	4.13
ST7	1.3	1.44	1.03	1.4	1.11	1.16	1.86	1.65	0.67	1.5	0.96	1.07	1.49	1.65	2	1.7	0.74	1.77	2.05	1.69
CDC27	3.32	4.12	4.74	3.25	3.03	2.78	3.29	4.76	4.71	3.83	4.34	7.66	5.98	10.28	8.6	7.56	5.03	8.91	11.4	4.69
SLC4A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01
CALCR	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0
HCCS	4.98	5.25	5.15	4.53	3.9	5.2	5.75	6	6.39	5.61	5.23	6.59	9.19	14.41	11.58	14.48	10.49	11.33	14.57	6.22
DVL2	2.56	2.29	2.24	1.75	2.45	2.08	2.36	1.88	2.07	2.34	3.58	1.77	2.11	1.06	1.72	4.38	2.75	2.76	4.84	2.04
PRSS22	4.34	3.21	3.02	2.46	2.71	3.86	4.12	3.34	3.77	3.6	3.91	2.05	4.44	2.43	3.26	2.94	2.49	3.3	2.84	4.88
UPF1	6.44	6.92	7.1	6.36	6.57	6.17	6.68	5.44	5.98	6.09	6.53	5.77	4.23	5.41	6.44	5.36	4.03	6.39	9.23	6.91
SKAP2	22.62	22.78	22.59	20.42	23.12	23.5	27.01	20.06	10.66	13.77	12.89	17.87	23.88	15.33	15.93	54.26	37.82	25.82	32.69	41.8
SLC25A5	64.07	77.61	79.51	72.55	70.54	82.77	83.77	84.64	94.7	98.72	92.98	102.82	99.6	108.38	123.78	117.09	86.17	30.85	41.84	101.11
MCUB	0.24	0.1	0.19	0.04	0.12	0.15	0.35	0.15	0.36	0.07	0.23	0.25	0.11	0.22	0.16	1.45	1.48	4.1	3.19	0.38
HOXA11	0.07	0.15	0.12	0.1	0.15	0.06	0.09	0.04	0.1	0.01	0.09	0.12	0.09	0.41	0.28	0.15	0.07	0.1	0.06	0.22
POLR2J	12.24	13.22	13.43	12.51	12.76	13.58	17.25	10.04	20.3	22.02	18.49	12.68	9.3	15.79	24.77	9.4	9.68	14.14	22.64	12.96
DHX33	0.75	0.55	0.33	0.28	0.42	0.47	0.45	0.36	0.26	0.36	0.4	0.41	0.53	0.92	0.64	0.55	0.55	0.63	0.92	0.63
MEOX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0
THSD7A	0.3	0.34	0.16	0.28	0.19	0.33	0.22	0.83	0.43	0.75	0.72	0.45	0.4	0.73	0.51	0.3	0.19	0.43	0.78	0.36
LIG3	0.87	1.08	0.86	1.32	0.92	1.52	1.42	0.97	0.92	0.76	0.82	0.61	1.77	1.91	1.47	1.17	2.21	0.44	1.34	1.13
RPAP3	1.31	0.94	1.16	1.42	1.24	1.45	1.18	2.1	1.95	1.39	1.39	2.01	2.09	4.07	2.69	2.5	2.03	3.71	3.68	1.61
ACSM3	1.44	0.35	0.71	0.55	1.11	1.29	0.7	1.52	1.29	1.32	0.65	1.36	1.5	1.02	1.3	1.12	0.93	1.36	1.02	1.2
REXO5	0.01	0.02	0.07	0.01	0.12	0.07	0.03	0.02	0.23	0.04	0.05	0.14	0.08	0.09	0.06	0.32	0.3	0.4	0.09	0.32
CIAPIN1	2.16	1.87	2.13	2.01	2.76	2.36	3.42	1.85	2.31	1.78	2.29	2.65	2.72	7.02	5.91	3.93	3.52	3.78	2.95	2.44
SPPL2B	2.54	4.42	4.84	4.75	5.35	3.84	3.26	2.28	4.24	4.62	3.75	2.53	0.93	2.97	5.97	2.67	2.98	3.89	7	5.13
FAM214B	7.71	7.8	7.79	6.91	7.05	8.63	8.1	4.68	5.01	5.94	5.54	5.68	5.61	8.16	7.66	6.28	4.61	2.78	4.02	8.94
COPZ2	0.8	0.47	0.32	0.43	0.22	0.4	0.38	0.21	0.07	0.87	0.16	0.27	0.31	0.75	0.44	0.55	0.41	0.38	0.81	0.65
PRKAR2B	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.08
MSL3	2.36	2.97	1.81	1.61	2.39	1.86	3.7	1.72	1.19	2.07	1.56	2.12	1.36	4.87	2.08	6.84	5.31	2.01	2.8	1.43
CREBBP	24.07	18.4	19.43	17.72	20.06	19.45	25.13	15.37	15.99	18.18	17.53	20.51	20.37	19.94	16.68	30.01	22.08	18.78	26.35	21.78
TSPOAP1	0	0	0	0	0	0.01	0	0.03	0	0	0.01	0	0	0.01	0.02	0	0	0	0	0.07
MPO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PON1	0	0.04	0	0	0	0.1	0	0.02	0	0	0.04	0.01	0	0.11	0.01	0	0.04	0	0.06	0
GCFC2	0.13	0.14	0.14	0.1	0.22	0.05	0.23	0.09	0.24	0.2	0.21	0.24	0.14	0.54	0.69	0.37	0.16	0.59	0.15	0.07
WDR54	0.28	0.4	0.37	0.03	0.05	0.37	0.05	0.06	0	0.1	0.01	0.1	0.26	0.05	0.08	0.15	0.34	0.14	0.36	0.28
CROT	3.73	4.77	4.79	4.64	5.72	7.57	5.35	7.8	10.16	8.23	5.9	8.49	9.49	21.56	16.08	3.65	3.38	1.32	2.75	5.8
ABCB4	0.27	0.12	0.21	0.07	0.07	0.1	0.21	0.1	0.16	0.13	0.25	0.02	0.35	0.02	0.09	0.16	0.18	0.03	0.02	0.12
KMT2E	7.66	7.32	6.61	6.56	7.46	7.73	9.51	7.24	6.63	6.3	5.78	7.4	8.62	6.44	6.3	13.57	10.33	7.97	9.39	10.63
RHBDD2	9.66	10.52	9.16	8.76	9.85	11.06	11.88	8.13	9.69	11.01	9.87	7.37	6.41	9.41	11.45	7.4	5.71	6.87	9.33	10.33
SOX8	0	0	0.02	0.01	0.01	0.01	0.03	0	0.02	0	0	0	0	0	0	0	0.01	0	0	0.06
IBTK	18.01	16.78	15.4	13.98	15.74	17.43	19.47	12.85	12.13	12.91	13.14	14.32	19.34	17.26	15.4	26.24	20	11.5	12.68	24.91
ZNF195	1.08	1.45	1.54	0.73	1.39	0.93	1.28	0.56	0.42	0.98	0.87	1.15	1.21	1.72	1.13	1.46	0.9	1.24	1.03	1.39
MYCBP2	2.19	2.2	2.02	1.15	1.01	1.54	1.39	1.32	1.08	1.83	0.94	1.69	1.54	3.01	3.49	2.9	1.98	2.24	3.78	1.74
