GeneSymbol	D3_INT_EPI_GL_C	D3_ISO2_EPI_1	D3_ISO2_EPI_2
TSPAN6	7.14	9.21	9.94
TNMD	0.83	0.63	0.26
DPM1	4.84	5.11	7.23
SCYL3	2.05	2.15	2.56
C1orf112	0.3	0.27	0.41
FGR	0	0	0
CFH	0	0	0
FUCA2	10.05	7.22	8.12
GCLC	56.1	12.66	15.27
NFYA	2.8	2.13	4.84
STPG1	2.85	2.87	2
NIPAL3	8.43	6.41	5.54
LAS1L	0.75	1.21	0.83
ENPP4	3.7	4.74	4.65
SEMA3F	2.53	0.84	1.05
CFTR	2.47	0.47	0.99
ANKIB1	6.9	12.8	15.18
CYP51A1	68.66	120.34	119.39
KRIT1	1.56	1.84	2.02
RAD52	0.66	0.68	0.58
MYH16_ENSG00000002079	0.02	0.04	0.04
BAD	8.44	8.45	7.88
LAP3	7.39	5.02	5.58
CD99	7.25	7.34	6.87
HS3ST1	0.85	1.09	0.68
AOC1	55	80.83	78.23
WNT16	0	0	0
HECW1	0	0	0
MAD1L1	3.26	4.3	5.14
LASP1	152.15	161.65	166.12
SNX11	1.87	1.7	3.31
TMEM176A	3.6	19.88	21.1
M6PR	2.89	1.52	3.23
KLHL13	0	0	0.01
CYP26B1	0.08	0	0
ICA1	5.92	6.1	10.99
DBNDD1	7.7	7.83	7.63
ALS2	1.74	1.72	2.01
CASP10	2.73	4.41	4.54
CFLAR	24.1	40.27	45.71
TFPI	24.52	61.82	63.27
NDUFAF7	2.58	1.13	2.08
RBM5	24.81	34.34	36.11
MTMR7	0.04	0.06	0.05
SLC7A2	0.01	0.04	0.01
ARF5	21.15	21.47	24.37
SARM1	0.25	0.54	0.24
POLDIP2	6.64	3.8	3.57
PLXND1	0	0.05	0.28
AK2	14.34	6.15	10.28
CD38	0	0	0.01
FKBP4	6.74	3.66	3.83
KDM1A	5.13	6.47	8.13
RBM6	5.34	3.89	5.23
CAMKK1	0	0.08	0.05
RECQL	0.73	1.14	1.26
VPS50	3.27	3.29	4.91
HSPB6	0.22	0.21	0.22
ARHGAP33	0.01	0.04	0.06
NDUFAB1	53.52	16.08	15.73
PDK4	11.87	5.33	5.04
SLC22A16	0.03	0.1	0.24
ZMYND10	0	0	0
ABCB5	0	0	0
ARX	0	0	0
SLC25A13	6.94	5.31	4.29
ST7	1.87	0.95	1.83
CDC27	5.13	5.23	3.83
SLC4A1	0	0	0
CALCR	0	0	0
HCCS	8.95	8.93	7.88
DVL2	0.52	2.17	2.01
PRSS22	3.19	6.86	7.83
UPF1	7.93	7.6	7.67
SKAP2	8.66	19.46	22.11
SLC25A5	98.67	56.5	51.14
MCUB	0.06	0.01	0.31
HOXA11	0.27	0.39	0.31
POLR2J	25.73	19.99	25.66
DHX33	0.43	0.85	0.6
MEOX1	0	0	0
THSD7A	1.02	1.41	2.39
LIG3	2.36	2.34	3.77
RPAP3	2.35	2.55	2.67
ACSM3	1.6	1.5	2.11
REXO5	0	0.08	0.03
CIAPIN1	4.78	4.14	3.27
SPPL2B	9.11	3.35	6.55
FAM214B	7.28	10.07	10.52
COPZ2	0.37	1.09	0.83
PRKAR2B	0	0	0
MSL3	1.44	2.73	3.25
CREBBP	14.17	16.09	15.74
TSPOAP1	0	0	0
MPO	0	0	0
PON1	0	0	0
GCFC2	0.43	0.32	1.15
WDR54	0.17	0.02	0.37
CROT	11.3	4.62	4.75
ABCB4	0.07	0.11	0.03
KMT2E	5	7.53	7.91
RHBDD2	12.13	13.7	13.75
SOX8	0	0	0
IBTK	10.57	14.78	15.01
ZNF195	0.63	2.67	0.94
MYCBP2	3.13	2.94	2.83
FBXL3	4.41	4.75	5.15
ITGAL	0.1	0.01	0.26
PDK2	2.51	1.18	2.27
ITGA3	63.53	101.77	99.36
ZFX	1.67	3.87	3.06
LAMP2	5.18	6.26	5.92
ITGA2B	0	0.01	0
ASB4	0	0	0
GDE1	22.38	22.94	23.27
REX1BD	1.8	0.38	1.15
CRLF1	0	0	0.02
OSBPL7	2.82	2.54	2.56
TMEM98	11.16	11.37	10.25
YBX2	0.51	2.33	4.07
KRT33A	0	0	0
MAP3K14	0.54	0.93	1.05
ABCC8	0.23	0.69	0.01
CACNG3	0	0	0
TMEM132A	3.91	1.62	1.18
AP2B1	19.7	13.28	10.98
TAC1	0	0	0
ZNF263	1.08	1.18	1.13
CX3CL1	0.83	1.77	2.3
SPATA20	11.4	8.45	9.12
CACNA1G	0	0.07	0
TNFRSF12A	6.96	16.88	16.79
DLX6	0	0.03	0
MAP3K9	1.55	2.59	2.6
RALA	16.23	22.56	22.38
BAIAP2L1	25.68	44.98	42.53
KDM7A	4.04	4.16	5.61
ETV1	0.06	0.28	1.06
AGK	2.22	0.9	0.59
ALDH3B1	20.82	34.42	31.53
TTC22	7.13	8.07	9.03
PHTF2	1.61	2.26	3.14
CCL26	0	0.47	0
FARP2	11.73	14.12	16.04
USH1C	61.41	67.7	69.34
GGCT	4.19	1.57	2.86
DBF4	0.43	0.66	0.17
TBXA2R	0	0	0
IFRD1	3.05	2.4	4.69
LGALS14	0	0	0
COX10	2.39	0.95	0.71
GTF2IRD1	1.93	1.73	2.11
PAF1	6.76	7.78	6.7
VPS41	7.48	9.51	7.77
ARHGAP44	1.15	0.77	0.34
ELAC2	5.13	2.87	3.08
SCIN	21.34	30.52	34.76
ARSD	5.64	8.87	6.81
PNPLA4	2.77	1.69	1.68
MYH13	0	0	0
ADIPOR2	17.78	25.7	26.62
