GeneSymbol	D3_INT_EPIi_PI_1	D3_INT_EPIi_PI_2	D3_INT_EPIi_LPS_1	D3_INT_EPIi_LPS_2	D3_INT_EPIi_5OP_1	D3_INT_EPIi_5OP_2	D3_INT_EPIi_C_1	D3_INT_EPIi_C_2	D3_ISO1_EPIi_1	D3_ISO1_EPIi_2
TSPAN6	10.82	9.82	9.51	8.48	11.03	13.24	11.61	10.62	26.78	29.43
TNMD	0.35	0.35	0.47	0.28	0.18	0.42	0.74	1.46	0.54	0.55
DPM1	3.26	3.94	3.83	3.61	5.28	5.32	7.41	6.58	3.74	5.14
SCYL3	2.16	1.86	2.36	1.7	2.7	2.69	3.32	2.67	3.92	3.83
C1orf112	0.03	0.04	0.08	0.28	0.01	0.28	0.36	0.2	0.23	0.56
FGR	0	0	0	0	0	0	0	0	0	0.01
CFH	0	0	0	0	0	0	0	0	0.22	0
FUCA2	7.5	8.17	7.69	8.42	7.64	9.39	14.17	12.53	5.53	7.14
GCLC	48.34	50.7	48.88	43.04	39.87	52.42	95.1	70.73	10.63	7.69
NFYA	2.36	2.81	3.18	2.45	3.59	3.11	4.16	4.44	4.35	4.94
STPG1	2.26	2.62	2.52	2.1	2.63	3.11	3.21	2.79	2.02	1.88
NIPAL3	6.5	7.33	7.26	5.49	5.9	6.59	12.11	10.7	3.84	4.56
LAS1L	0.49	0.61	0.56	0.78	0.58	0.53	1.94	1.34	0.85	0.64
ENPP4	4.87	4.26	4.64	4.54	6.24	6.21	5.31	5.26	8.86	10.98
SEMA3F	0.67	0.84	1.48	1.48	1	1.16	3.05	3.9	2.37	2.42
CFTR	0.16	0.41	0.26	1.07	0.36	0.16	0.91	0.68	0.18	0.19
ANKIB1	10.96	7.8	7.58	8.98	10.8	10.67	11	16.28	12.43	14.16
CYP51A1	108.19	105.44	101.67	99.35	107.61	150.87	95.74	107.53	73.64	96.74
KRIT1	2.38	1.7	1.83	1.52	1.58	2.23	3.42	2.6	2.08	1.69
RAD52	0.38	0.11	0.67	0.62	0.28	0.28	1	0.45	0.16	0.47
MYH16_ENSG00000002079	0.01	0	0.05	0.07	0.07	0.13	0.05	0.03	0.06	0.16
BAD	1.95	4.61	5.06	7.33	2.91	1.41	2.99	3.38	2.5	9.62
LAP3	8.86	9.57	8.65	8.08	7.4	9.24	11.94	10.3	181.52	194.63
CD99	4.13	3.38	4.44	5.07	3.94	5.8	3.55	2.56	6.43	9.72
HS3ST1	0.41	0.33	0.5	0.55	0.37	0.25	1.16	1.03	0.34	0.56
AOC1	63.56	66.08	69.81	69.54	69.69	53.62	52.72	66.33	63.84	88.57
WNT16	0	0	0	0.01	0	0.01	0	0	0	0
HECW1	0	0	0	0	0	0	0	0	0	0
MAD1L1	1.56	2.17	3.03	1.69	1.73	2.46	5.23	4.76	3.01	3.51
LASP1	143.74	129.11	137.81	132.4	147.25	176.01	171.22	179.25	130.64	189.68
SNX11	1.78	1.54	1.44	0.95	1.39	1.18	2.38	2.72	1.55	2.49
TMEM176A	13.15	9.14	9.43	10.42	15.36	9.29	5.24	7.24	39.33	39.47
M6PR	1.56	1.8	2.15	1.24	1.58	1.82	4.88	3.29	1.63	2.63
KLHL13	0.01	0.01	0.01	0.01	0.03	0	0.01	0.01	0.06	0.42
CYP26B1	0.03	0.03	0.01	0.02	0.03	0.04	0.1	0.05	0.05	0.06
ICA1	8.84	5.08	7.5	5.36	6.87	8.9	8.55	5.88	6.12	7.66
DBNDD1	4.44	4.95	5.38	6.42	5.01	4.1	6.41	8.02	5.7	7.82
ALS2	1.72	1.53	1.57	1.4	2.21	2.05	1.97	1.96	1.91	1.78
CASP10	4.93	3.3	5.13	4.44	5.52	5.38	5.88	6.21	35.5	37.23
CFLAR	33.81	26.17	30.45	28.78	35.81	44.93	35.89	35.12	57.84	66.31
TFPI	40.48	35.03	32.48	35.25	37.74	40.56	34.36	31.83	36.48	50.72
