GeneSymbol	D3_ISO6_LP_1	D3_ISO6_LP_2	D3_ISO1_LP_1	D3_ISO1_LP_2	D3_INT_LP_PI_1	D3_INT_LP_PI_2	D3_INT_LP_LPS_1	D3_INT_LP_LPS_2	D3_INT_LP_5OP_1	D3_INT_LP_5OP_2	D3_INT_LP_C_1	D3_INT_LP_C_2
TSPAN6	7.16	4.27	0.15	0.04	4.04	0	0	2.26	0	0.02	0.82	0
TNMD	2.14	7.7	0	0	0	0	0	0	0	0	0	0
DPM1	45.87	52.61	17.92	20.75	113.2	0	16.46	3.47	0.38	4.28	0.28	1.49
SCYL3	2.05	2.88	1.75	4.43	1.62	0	0	0	0	0.74	1.53	0
C1orf112	3.81	1.26	3.03	2.42	0	0	0	0	0	0	0	0
FGR	16.45	13.23	0.73	0.91	0	0	0	0	0	0	0	0
CFH	38.57	18.66	1.07	0.87	28.29	1.94	9.53	0	4.81	0.86	0	0.19
FUCA2	6.54	8.07	2.74	3.19	0	0	0	0	0	1.19	0	0
GCLC	24.45	20.97	7.53	11.47	2.48	3.84	6.77	0	0.31	0	0.49	0.12
NFYA	16.34	15.27	13.73	14.01	23.03	1.42	0	0	6.94	0.03	0.68	0.12
STPG1	56.36	16.41	0.81	3.9	15.26	8.4	46.99	0	0.33	1.23	0.04	0.64
NIPAL3	25.81	22.14	6.07	6.41	24.68	1.24	1.08	0	4.15	1.02	0	0
LAS1L	35.09	47.18	35.82	39.28	22.29	7.02	22.94	3.14	4.38	0.81	0.7	0.96
ENPP4	3.06	1.4	1.07	2.06	0	0	0	0	0	0	0	0
SEMA3F	8.11	10.04	0	0	7.97	0	0	0	14.71	0.02	0.01	0
CFTR	44.31	21.11	0.05	0.09	15.87	2.85	17.73	0	3.6	1.08	0.04	0.48
ANKIB1	3.81	4.42	7.43	10.48	3.04	0	0	0.02	0	0	0	0.23
CYP51A1	12.36	8.37	16.38	16.25	3.39	0	0	0	0	0.09	0.23	0.18
KRIT1	26.52	29.65	7.74	13.58	29.11	0.05	11.08	7.58	0.11	0.2	0.35	0
RAD52	11.81	22.71	3.44	7.29	41.21	0	2.56	0	0	0.57	0	1.26
MYH16_ENSG00000002079	0	0.14	0	0	0	0	0	0	0	0	0	0
BAD	14.76	19.42	15.77	12.7	0	0	0	0	2.54	0	0.09	1.44
LAP3	37.97	39.79	27.45	19.47	0	0	0	60.36	4.52	0	2.3	1.23
CD99	27.01	33.54	42.06	42.74	3	0.07	25.54	0.27	0.74	0	2.36	0.67
HS3ST1	10.05	8.01	0.01	0.1	14.34	0.42	0.12	0.49	1.51	0.52	0.29	0.53
AOC1	0	1.95	0.74	0.36	11.45	0	0	0	3.71	0	0	0
WNT16	7.99	4.41	0.08	0.25	0	0	0	0	0	0	0	0.22
