GeneSymbol	D3_ISO6_LTL_1	D3_ISO6_LTL_2	D3_ISO1_LTL_1	D3_ISO1_LTL_2	D3_INT_LTL_PI_1	D3_INT_LTL_PI_2	D3_INT_LTL_LPS_1	D3_INT_LTL_LPS_2	D3_INT_LTL_5OP_1	D3_INT_LTL_5OP_2	D3_INT_LTL_C_1	D3_INT_LTL_C_2
TSPAN6	9.67	6.74	0.8	0.38	0	0	0.48	0	11.46	5.84	2.87	0
TNMD	0	0	0	0	0	0	0	0	12.36	0	0	0
DPM1	35.83	24.69	22.88	6.07	0	2.78	3.92	6.29	25.21	9.6	28.61	5.44
SCYL3	5.63	3.58	1.29	0.92	0	0	2.71	1.98	8.37	0	1.2	0
C1orf112	0.91	1.48	0	16.25	5.42	0	5.05	0	0	0	0	8.9
FGR	13.51	15.24	6.92	1.61	9.29	10.23	7.66	14.81	14.6	8.53	6.56	24.83
CFH	31.97	12.14	7.2	5.29	5.18	0.87	33.89	0.99	16.1	1.26	8.12	8.14
FUCA2	1.25	6.61	3.08	5.54	0	0	3.2	0	1.2	2.25	2.63	2.5
GCLC	31.57	22.76	3.32	9.11	0.97	0	2.66	0	27.6	44.02	25.99	8.78
NFYA	11.14	7.96	9.26	9.9	1.05	2.97	11.41	9.39	13.39	1.57	6.03	4.47
STPG1	41.61	36.43	2.48	2.09	20.3	71.66	39.77	34.63	48.67	2.14	52.6	9.41
NIPAL3	19.71	9.23	9.33	14.16	1.23	0	77.72	12.88	25.03	0.43	15.05	0
LAS1L	24.01	33.71	24.94	23.26	8.92	8.17	25.93	17.29	30.95	13.83	21.92	1.66
ENPP4	0.56	1.67	0.39	0.2	0	0	0.58	3.03	2.88	0	0	0
SEMA3F	25.6	6.7	5.88	0.13	3.72	67.24	4.53	0	13.33	7.21	8.02	0
CFTR	22.58	18.75	3.04	0.73	86.85	0.96	5.4	3.04	5.8	2.48	6.81	11.73
ANKIB1	2.18	4.08	10.13	1.33	0	0	2.02	2.3	14.67	0	0	0
CYP51A1	10.73	22.8	10.23	4.85	4.64	4.09	0	0	3.02	0	5.41	7.19
KRIT1	21.98	19.83	20.02	10.6	8.39	5.49	39.17	0	15.79	3.04	22.25	12.03
RAD52	25.24	1.74	3.51	0.43	16.98	0.49	1.16	0	2.65	0	0	60.35
MYH16_ENSG00000002079	1.06	0	0.16	0.48	0	0	0	0	0	0	0.6	0
BAD	6.28	9.96	27.92	12.52	0	0	0	0	19.83	41.23	0	0
LAP3	19.05	4.69	36.87	14.5	61.25	0	42.03	0	10.07	0	15.02	0
CD99	13.73	24.48	38.15	31.8	41.98	0	51.08	0	11.7	10.92	0	4.4
HS3ST1	5.46	2.73	1.03	4.05	13.53	2.33	4.55	11.67	10	0	1.71	2.1
AOC1	1.49	0	1.43	3.75	0	0	0	0	0.44	4.16	0	0
WNT16	3.67	7.21	0.24	0	0	0	0	0	2.35	1.44	3.49	0
HECW1	20.66	17.73	15.33	2.53	28.55	0	10.08	10.67	2.33	0.1	16.76	1.79
MAD1L1	15.12	55.45	21.67	50.07	57.82	5.48	14.06	0	37.89	0.67	38.73	71.03
LASP1	35.42	25.76	24.57	24.43	9.66	81.21	67.02	0	24.24	27.83	7.97	53.77
SNX11	7.77	6.91	2.38	2.3	0	0	30.49	0	12.19	0	0	0
TMEM176A	29.82	35.73	5.37	0.36	2.46	0	17.28	0	5.39	2.82	46.28	10.75
M6PR	34.27	29.35	29.06	116.07	0	0	117.68	0	72.52	3.97	52.07	2.76
KLHL13	2.13	3.29	2.16	0	4.64	0	0.25	14.27	4.62	0	0	0
CYP26B1	5.65	1.58	3.84	0	12.08	3.45	5.64	12.53	4.77	1.37	0	5.36
ICA1	5.66	6.75	1.38	1.63	0	0	0	0	38.74	0	0	0
DBNDD1	8.29	3.13	1.1	0.38	20.17	0	3.47	0	4.8	5.04	0	4.14
ALS2	23.45	27.2	11.05	5.82	15.77	2.93	31.57	15.31	29.55	11.72	33.18	11.75
CASP10	13.64	12.52	1.48	0	0	0	14.17	3.57	10.64	20.64	19.23	2.3
CFLAR	56.11	90.99	41.45	42.49	3.49	15.48	28.95	1.16	23.63	16.6	68.79	15.32
TFPI	16.36	10.86	3.03	13.91	0.89	1.96	18.77	0	20.13	3.29	7.7	2.04
NDUFAF7	11.6	5.28	0	9.61	14.74	65.99	45.18	0	13.48	42.42	0	0
RBM5	113.57	146.66	119.06	435.79	48.14	54.96	41.17	11.67	36.23	6.89	45.67	46.28
MTMR7	1.69	2.05	1.78	0	0.2	0	2.28	0	2.18	0	1.45	0
SLC7A2	4.6	0.63	1.7	0	1.13	0.02	3.2	4.47	1.46	0.68	2.54	1.52
ARF5	24.64	3.46	2.78	0	0	14.41	1.36	9.52	23.04	0	0	0
SARM1	2.97	3.69	5.63	3.33	2.32	0	12.94	8.32	12.55	1.71	5.24	56.3
POLDIP2	3.21	1.33	3.19	0.65	0	5.62	17.17	0.28	0	0	3.71	13.22
PLXND1	3.92	19	14.54	3.49	0	8.06	15.44	0.3	18.24	0	30.9	23.18
AK2	48.7	51.82	20.5	76.6	6.76	9.88	98.38	55.27	89.27	10.22	15.01	5.29
CD38	31.19	3.88	2.49	3.76	8.74	0.78	33.04	7.45	17.84	5.6	31.73	23.71
FKBP4	19.07	25.38	6.18	1.62	3.66	0.28	17.85	94.42	36.19	3.9	2.59	0.1
KDM1A	28.23	12.34	16.57	8.11	16.73	3.59	17.23	0.3	12.1	5.12	8.72	7.06
RBM6	53.2	35.26	42.87	158.09	1.32	0	11.42	0	35.02	22.57	9.65	0
CAMKK1	11.99	3.92	6.54	3.29	12.48	0	8.3	7.34	11.78	1.22	6.65	8.69
RECQL	5.22	9.05	9	38.8	0	0	0	1.14	3.05	0	3.21	5.69
VPS50	2.91	7.29	26.05	29.3	0.06	0	1.9	0.13	21.75	18.46	3.62	8.16
HSPB6	14.89	10.14	0	1.35	0	0	5.31	0	16.87	2.66	4.14	6.1
ARHGAP33	4.99	8.44	0.39	0	0	0	3.66	0	3.89	0	2.8	14.55
NDUFAB1	24.21	18.06	74.55	14.54	0	0	0	0	9.35	0	0	0
PDK4	12.41	21.77	2.56	0.54	0	0	13.76	0	0	1.17	10.45	12.2
SLC22A16	7.88	49.55	3.55	0	0	0	8.93	0	0	0	0	0
ZMYND10	17.1	32.85	10.08	13.61	0	25.05	0	0	9.64	0	0	0
ABCB5	6.93	5.46	2.88	0	0	0	5.59	0	0.49	0	6.25	1.52
ARX	2.79	0.35	0.07	0.09	0	0	8.22	0.25	9.6	2.72	0.64	1.78
SLC25A13	39.13	20.3	11.9	2.79	0	0	0	0	0	0	0	3.15
ST7	10.06	6.92	3.15	22.23	0	0	16.61	36.08	8.02	0	11.41	14.62
CDC27	10	1.57	3.29	1.56	0	0	2.74	0	0	13.93	0	0
SLC4A1	1.15	0.51	0.91	0	0.21	0.04	3.66	0	11.63	0	3.27	6.64
CALCR	1.97	1.41	0	1.69	3.69	0	2.26	0	2.35	0.06	0	3.04
HCCS	2.78	3.33	3.86	1.1	0	0	1.47	0	0	0	0.82	5.71
DVL2	34.74	7.97	4.16	8.77	0	72.2	94.2	0	3.97	33.86	13.59	10.07
PRSS22	0	7.5	0.92	0	0	0.09	5.69	0	29.65	0	0	1.86
UPF1	9.98	28.52	11.11	3.99	0	0	15.07	2.24	24.2	34.23	1.57	0
SKAP2	7.19	7.29	15.44	1.75	2.39	0	2.25	0	1.09	26	4.46	1.78
SLC25A5	15.49	30.18	6.06	31.18	0	18.28	0	0	0	0	0	15.36
MCUB	1.24	1.87	3.52	0	0	0	1.29	28.94	3.02	0	0	0
HOXA11	4.78	0	0.93	0	5.44	0	6.6	4.59	15.74	0	2.08	0
POLR2J	57.13	24.16	131.78	132.9	0	0	0	0	0	8.86	0	46.61
DHX33	1.24	3.83	3.19	0.34	6.72	0	2.58	0	6.26	0	2.34	1.88
MEOX1	2.37	3.54	2.19	15.86	0	0.15	0	29.52	2.82	7.46	1.39	0
THSD7A	1.85	1.02	1.34	1.55	1.08	0	14.25	0.45	3.37	0	1.13	0
LIG3	27.91	13.61	5.53	12.77	6.74	20.37	12.24	16	3.65	3.29	9.67	0.24
RPAP3	2.61	3.04	4.99	6.67	0	0	0	0	3.63	0	0	0
ACSM3	19.07	21.6	6.96	1.14	0	0	43.95	8.62	36.3	1.04	5.5	19.03
REXO5	0	0.83	0	0	0	0	45.4	0	0.85	0	0	0
CIAPIN1	4.19	1.04	8.59	0	0	0	33.16	0	40.67	0	56.62	0
SPPL2B	34.71	39.52	69.96	25.1	0	0	15.84	0	12.31	0	7.58	74.65
FAM214B	17.51	9.88	5.09	0.16	0	0	5.62	0	2.47	3.64	4.47	1.65
COPZ2	3.18	2.86	0	0	0	0	1.75	0	3.87	0	0	0
PRKAR2B	11.89	6.53	0.5	5.46	0	0	6.68	0	4.09	4.27	3.19	1.62
MSL3	34	11.58	2.19	4.53	16.49	6.78	37.68	0	27.18	1.75	1.79	4.54
CREBBP	27.83	17.96	6.05	7.11	10.64	6.49	36.12	1.72	60.52	2.35	53.54	50.12
TSPOAP1	10.53	43.97	21.46	8.71	39.18	52.95	57.44	1.11	28.11	5.77	8.8	43.13
MPO	0.86	4.32	0	11.42	0	0	4.07	3.47	20.51	10.22	19.72	3.72
PON1	0.38	6.41	4.8	0	0	0	2.79	0	0	0	0	0
GCFC2	8.98	7.3	0.36	0	0	0	5.22	0	4.83	0	0	0
WDR54	9.28	11.3	1.87	15.19	0	0	48.89	0	17.88	10.21	3.49	8.18
CROT	2.22	2.82	3.71	3.2	0	0	0.72	0	0	0	0	0
ABCB4	14.01	8.58	14.58	0.39	0	0	30.37	20.09	14.47	0	0	0
KMT2E	63.22	32.91	27.39	13.87	33	45.97	90.85	103.36	22.49	12	82.95	58.78
RHBDD2	45.53	13.6	8.69	0.58	122.01	0	45.29	0	38.82	0	20.99	0
SOX8	2.75	3.14	0.97	1.04	0	0	8.32	0	1.54	0	0.4	0
IBTK	4.21	5.91	6.02	2.63	3.81	0	1.69	0	35.14	0	0	0
ZNF195	2.3	6.33	30.63	0.63	0.44	0.01	6.27	0.48	11.55	2.54	0	1.04
MYCBP2	46.38	40.23	21.44	28.56	17.4	16.74	62.69	0	56.43	19.21	44.61	18.71
FBXL3	12.6	33.53	0.85	12.72	89.72	0	0.39	0	2.69	0	0	0
ITGAL	42.73	66.33	14	35.28	9.22	100.2	26.58	4.31	29.22	4.66	44.18	34.63
PDK2	12.48	23.62	3.91	5.84	38.38	0	13.33	0	0.92	0	0	0
ITGA3	20.68	8.92	2.41	9.65	3.54	5.11	22.31	0	14.7	30.23	15.31	15.38
ZFX	4.46	16.66	7.35	5.53	0.61	0	0.16	0.82	4.02	1.34	1.11	0.7
LAMP2	8.69	15.66	1.85	2.29	5.22	2.38	14.25	2.54	12.9	1.71	12.42	2.56
ITGA2B	37.71	9.99	8.7	0	6.82	0	6.96	0	10.95	0	47.67	0
ASB4	11.17	3.98	8.93	0.89	0	2.29	5.3	10.75	1.38	0	0	0
