GeneSymbol	D3_ISO1_HEP_L_1	D3_ISO1_HEP_L_2	D3_ISO2_HEP_1	D3_ISO2_HEP_2	D3_INT_HEP_PI_1	D3_INT_HEP_PI_2	D3_INT_HEP_LPS_1	D3_INT_HEP_LPS_2	D3_INT_HEP_5OP_1	D3_INT_HEP_5OP_2	D3_INT_HEP_C_1	D3_INT_HEP_C_2	D3_INT_HEP_GL_C
TSPAN6	5.5	5.39	7.33	6.49	4.94	5.2	4.62	4.46	4.4	4.76	4.89	5.01	4.5
TNMD	0.09	0.11	0.04	0.05	0	0	0	0	0	0.03	0.02	0	0
DPM1	15.6	14.79	19.08	13.72	8.11	8.15	9.4	9.92	8.73	9.09	10.57	9.39	10.51
SCYL3	1.78	2.28	1.63	1.64	1.4	1.6	1.53	1.09	1.5	1.4	1.46	1.55	0.95
C1orf112	1.49	1.68	1.93	1.65	1.17	0.16	0.65	0.69	0.97	0.59	0.67	0.69	0.67
FGR	3.46	5.02	2.51	2.73	0.34	0.14	0.65	0.16	0.14	0.16	0.32	0.09	0.26
CFH	96.98	119.81	80.13	80.11	46.27	40.13	57.81	45.43	45.39	50.53	51.59	51.82	30.56
FUCA2	19.6	19.38	22.6	21.51	16.35	19.43	15.81	11.08	14.39	14.02	14.73	14.05	16.13
GCLC	14.93	15.96	25.79	20.81	14.94	13.45	18.27	12.01	18.71	16.58	13.51	12.75	14.75
NFYA	5.69	7.18	7.68	5.71	4.24	4.32	5.92	5.31	5.8	4.26	4.72	5.11	5.3
STPG1	1.97	1.79	2.2	1.6	0.89	0.88	1.31	0.89	0.75	0.82	1.07	1.17	1.58
NIPAL3	2.87	2.7	2.5	1.98	1.62	1.16	1.52	1.23	1.58	1.13	1.19	1.46	1.69
LAS1L	9.3	10.59	15.75	13.58	8.52	10.59	9.78	9.96	10.47	8.06	11.1	9.22	9.84
ENPP4	3.13	3.71	2.15	2.3	1.13	0.97	1.01	0.81	0.72	0.94	0.91	1.03	1
SEMA3F	0.66	0.34	0.5	0.42	0.08	0.1	0.11	0.28	0.75	0.08	0.27	0.18	0.32
CFTR	0.46	0.59	0.65	0.22	0.12	0.07	0.13	0.04	0.08	0.11	0.23	0.17	0.01
ANKIB1	7.37	10.45	10.42	8.09	5.5	4.54	6.82	5	8.33	7.34	7.29	7.29	5.95
CYP51A1	42.1	47.32	54.24	48.37	54.52	51.59	48.04	41.93	46.47	48.33	43.76	44.65	43.5
KRIT1	4.76	5.86	3.84	4.5	2.1	0.83	2.83	4.27	2.88	2.47	2.86	2.28	2.73
RAD52	2.43	1.95	3.75	2.44	1.73	1.79	1.34	2.59	1.31	2.1	1.68	1.81	1.02
MYH16_ENSG00000002079	0.22	0.18	0.38	0.25	0.26	0.17	0.06	0.13	0.21	0.06	0.22	0.13	0.21
BAD	6.34	7.9	7.94	8.27	7	7.65	6.41	5.69	6.98	2.26	3.45	2.58	7.17
LAP3	163.32	186.62	23.81	21.73	24.4	22.8	29.05	25.27	24.95	21.38	23.98	27.48	14.02
CD99	43.28	43.01	48.31	42.62	36.64	46.72	35.52	27.99	34.56	28.93	30.26	29.25	33.15
HS3ST1	0.27	0.6	0.13	0.19	0.07	0.03	0	0	0.01	0.03	0.05	0.01	0.38
AOC1	0.1	0.04	0.09	0.05	0.43	0.1	0.03	0.06	0.1	0	0.08	0	0.07
WNT16	0.08	0.06	0.01	0.23	0.13	0.05	0	0	0.02	0	0.02	0.02	0.02
HECW1	0.67	0.23	0.18	0.17	0.09	0.03	0.01	0.03	0.04	0.04	0.06	0.06	0.23
MAD1L1	5.53	8.35	11.55	7.01	4.18	3.53	5.27	4.43	5.33	3.81	4.7	4.58	5.18
LASP1	111.41	121.93	163.32	145.49	131.78	140.14	155.46	120.25	171.83	119.39	167.04	141.32	164.64
SNX11	2.23	2.76	3.88	3.08	3.37	1.56	3.15	2.07	1.74	1.72	3.87	1.79	2.59
TMEM176A	83.7	101.57	75.38	86.15	72.81	80.99	93.22	86.84	81.48	93.03	78.7	81.9	58.1
M6PR	25.5	25.51	26.06	18.27	16.9	15.76	15.92	14.56	14.86	15.5	15.6	17.34	14.1
KLHL13	0.33	0.32	0.62	0.57	0.34	0.14	0.1	0.08	0.13	0.08	0.23	0.08	0.34
CYP26B1	0.24	0.2	0.37	0.17	0.06	0	0.01	0.06	0	0.05	0.04	0.03	0.06
ICA1	0.65	0.57	0.49	0.44	0.09	0.22	0.04	0.18	0.27	0.31	0.36	0.42	0.16
DBNDD1	3.26	3.07	5.88	5.23	5.64	7.08	4.93	4.47	5.65	4.54	5.33	5.17	6.45
ALS2	5.06	6.72	7.36	6.36	4.93	6.63	4.97	4.37	5.44	5.25	5.73	5.24	5.46
CASP10	4.63	6.01	3.11	2.19	1.79	1.27	2.25	1.64	1.67	1.74	2.4	2.4	1.51
CFLAR	31.41	38.68	31.05	30.32	20.16	19.73	21.89	21.97	25.83	26.17	29.13	24.21	25.6
TFPI	173.82	198.35	217.53	180.17	141.05	147.39	121.68	121.85	135.09	142.85	155	135.65	162.39
NDUFAF7	3.66	4.11	5.6	4.64	6.03	6.67	4.97	5.55	6.92	4.26	5.89	4.73	5.59
RBM5	17.83	25.56	19.59	21.26	17.5	27.14	19.38	21.42	27.01	18.42	27.89	27.63	26.11
MTMR7	0.42	0.33	0.87	0.33	0.13	0.13	0.18	0.08	0.4	0.12	0.13	0.16	0.07
SLC7A2	18.45	24.35	16.01	15.29	12.03	10.03	13.88	11.42	13.61	13.75	14.27	12.02	12.81
ARF5	13.78	19.33	20.58	18.4	14.43	22.57	12.31	12.48	14.41	10.65	15.83	16.78	14.27
SARM1	0.3	0.54	1.08	0.16	0.14	0.08	0.26	0.44	0.15	0.13	0.37	0.07	0.07
POLDIP2	13.74	13.78	22.38	16.95	17.32	18.75	14.48	13.12	13.5	13.65	14.39	14.04	15.53
PLXND1	6.38	7.26	5.85	8.64	0.86	1.84	1.89	2.69	2.03	0.78	1.43	1.14	1.65
AK2	55.72	53.3	62.05	56.17	45.13	46.95	41.66	41.93	39.43	39.48	44.63	47.52	36.77
CD38	12.44	15.63	0.48	0.51	0.84	0.79	1.5	1.11	0.77	0.77	0.74	0.66	0.48
FKBP4	19.58	22.36	28.49	25.97	47.07	49.68	47.47	42.48	49.82	44.38	47.84	49.67	49.13
KDM1A	13.24	14.06	19.01	16.02	14.97	11.37	11.96	10.91	11.67	9.41	11.64	11.24	10.76
RBM6	7.79	13.29	10.18	9.54	7.36	4.9	10.2	7.55	9.41	7.42	8.49	6.84	8.49
CAMKK1	0.39	0.23	0.25	0.25	0.24	0.04	0.05	0.07	0.11	0.12	0.19	0.13	0.18
RECQL	21.04	23.73	18.24	15.84	8.72	6.04	8.87	6.39	8.56	8.14	9.25	8.88	7.67
VPS50	4.05	5.93	5.8	6.28	4.31	3.02	5.38	2.62	2.91	5.64	3.39	3.81	6.35
HSPB6	0.47	0.4	1.07	0.89	0.58	0.13	0.2	0.16	0.21	0.1	0.24	0.31	0.22
ARHGAP33	0.61	0.24	0.13	0.17	0.28	0.22	0.07	0.3	1.01	0.05	0.39	0.29	0.49
NDUFAB1	64.52	66.38	76.2	63.96	81.9	57.55	65.2	55.76	62.75	52.13	55.38	52.54	73.42
PDK4	8.01	8.37	12.64	12.32	2.45	2.56	2.56	1.91	2.78	2.38	2.46	2.66	2.05
SLC22A16	0.51	0.31	0.18	0.09	0.04	0	0	0	0.05	0.07	0.01	0.05	0.16
ZMYND10	0.08	0.08	0	0.02	0	0	0	0.01	0	0.17	0.1	0.03	0.03
ABCB5	0.16	0.02	0.01	0.06	0	0	0	0.01	0	0.01	0.01	0	0.02
ARX	0.01	0.09	0	0.02	0.01	0.01	0	0.01	0.01	0	0.06	0.01	0.02
