GeneSymbol	D4_INT_EPIi_PI_1	D4_INT_EPIi_PI_2	D4_INT_EPIi_LPS_2	D4_INT_EPIi_5OP_1	D4_INT_EPIi_5OP_2	D4_INT_EPIi_C_1	D4_INT_EPIi_C_2	D4_ISO1_EPIi_1	D4_ISO1_EPIi_2	D4_INT_EPIi_LPS_1
TSPAN6	10.34	10.94	9.41	9.28	10.14	11.36	11.91	24.3	19.5	12.57
TNMD	0.09	0.23	0.07	0.06	0.07	0.08	0.31	0.4	1.12	0.49
DPM1	4.33	4.06	3.73	3.29	3.72	4.99	5.1	6.36	4.97	5.76
SCYL3	2.35	2.19	2.07	2.2	2.55	2.4	2.89	4.48	3.45	2.46
C1orf112	0.26	0.15	0.28	0.09	0.05	0.11	0.26	0.44	0.21	0.12
FGR	0	0	0	0	0	0	0	0	0	0
CFH	0	0.02	0.02	0.03	0.02	0	0.07	0	0.01	0.03
FUCA2	6.34	6.65	5.65	5.45	5.36	6.98	7.65	7.87	7.51	10.06
GCLC	39.21	42.35	36.23	36.44	48.49	52.56	41.96	8.87	5.79	56.03
NFYA	2.88	3.46	3.38	3.21	3.58	3.27	3.8	6.04	4.6	4.3
STPG1	1.65	1.72	1.89	1.92	1.42	2.04	2.02	2.89	1.64	2.7
NIPAL3	4.6	4.45	4.09	3.86	3.96	4.51	5.38	5	4.35	5.86
LAS1L	0.77	0.41	0.42	0.47	0.52	0.58	0.57	0.94	0.63	0.47
ENPP4	4.46	3.57	3.96	4.1	3.83	4.2	4.97	9.7	10.13	6.66
SEMA3F	0.9	1.02	1.15	0.8	0.89	0.83	1.08	2.6	1.5	1.25
CFTR	0.26	0.44	0.17	0.27	0.23	0.22	0.28	0.92	0.55	0.23
ANKIB1	12.52	9.21	9.27	10.33	7.88	9.71	13.27	17.56	13.74	16.09
CYP51A1	110.18	106.61	104	104.08	103.18	99.66	116.96	131.15	107.7	146.37
KRIT1	1.65	1.94	2.15	1.3	1.54	1.74	1.31	2.26	1.61	1.87
RAD52	0.58	0.25	0.51	0.27	0.34	0.95	0.22	0.78	0.56	0.72
MYH16_ENSG00000002079	0.07	0.08	0.18	0.2	0.17	0.16	0.17	0.16	0.15	0.14
BAD	9.41	10.01	8.72	9.38	8.68	6.76	5.21	1.71	1.71	8.71
LAP3	6.6	5.81	5.03	4.85	4.94	8.13	6.59	158.54	123.01	6.04
CD99	10.22	10.72	8.82	7.49	7.51	10.23	10.66	12.6	11.31	15.06
HS3ST1	0.41	0.41	0.31	0.42	0.33	0.25	0.35	0.43	0.3	0.56
AOC1	84.32	94.39	98.35	93.19	92	92.89	101.41	93.93	79.91	105.21
WNT16	0.01	0	0.01	0	0	0	0	0	0	0.02
HECW1	0	0	0	0	0	0	0	0	0	0
MAD1L1	2.19	2.6	2.12	2.18	1.78	2.18	1.47	3.27	1.61	2.14
LASP1	123.32	124.78	131.38	131.44	134	136.61	151.53	155.7	127.47	143.71
SNX11	1.49	1.68	2.09	1.68	2.27	1.62	1.99	1.41	2.2	1.34
TMEM176A	17.07	23.63	23.27	15.49	16.4	25.16	23.1	50.2	36.01	25.11
M6PR	1.3	1.73	1.26	1.19	0.91	1.17	1.73	1.54	1.44	2.96
KLHL13	0.01	0.02	0	0.01	0.06	0.02	0	0.05	0.03	0.03
CYP26B1	0.17	0.08	0.14	0.08	0.09	0.09	0.03	0.14	0.08	0.39
ICA1	5.57	4.5	4.28	5.69	4.97	5.61	6	5.47	4.11	6.34
DBNDD1	5.78	6.59	6.53	6.1	5.62	6.43	6.17	7.27	4.76	7.03
ALS2	1.37	1.59	1.4	1.34	1.57	1.66	1.71	1.38	1.66	1.94
CASP10	3.82	4.62	4.03	4.1	4.13	6.06	6.3	31.89	33.52	4.71
CFLAR	28.6	27	28.76	29.54	27.23	35.29	40.64	66.23	57.53	30.49
TFPI	64.81	57.71	52.58	54.08	56.22	56.88	78.81	65.23	55.74	79.85
NDUFAF7	0.98	1.24	0.47	0.5	0.77	0.73	0.93	0.77	0.56	0.97
RBM5	25.29	21.48	19.51	16.73	18.56	26.33	25.67	38.58	28.81	22.33
MTMR7	0.14	0.14	0.06	0.1	0.07	0.06	0.07	0.09	0.13	0.11
SLC7A2	0	0	0	0	0	0	0	0.01	0.05	0
ARF5	13.51	15.93	12.45	14.25	14.65	14.56	16.62	18.07	13.28	22.37
SARM1	0.11	0.16	0.22	0.16	0.33	0.18	0.12	0.06	0.16	0.11
