GeneSymbol	D4_ISO1_LP_1	D4_ISO1_LP_2	D4_INT_LP_PI_1	D4_INT_LP_PI_2	D4_INT_LP_LPS_1	D4_INT_LP_LPS_2	D4_INT_LP_5OP_1	D4_INT_LP_5OP_2	D4_INT_LP_C_1	D4_INT_LP_C_2	D4_ISO6_LP_1	D4_ISO6_LP_2
TSPAN6	0.06	0	0	0	0	0	0	0	0	0	0	0
TNMD	0	0	0	0	0	0	0	0	0	0	0	0
DPM1	42.3	0	0	0	0	0	9.21	0	2.53	15.42	72.82	12.76
SCYL3	4.93	0	0.06	0	0.72	3.64	0	0	0	0	3.3	2
C1orf112	0	0	0	0	3.35	0	0	0	0	0	0	0.68
FGR	0.01	0	0	0.17	142.05	0	0	0.05	0.02	0	0	0
CFH	0	0	0	0	60.69	0	33.16	0	0.28	9.99	0.63	1.36
FUCA2	0.05	0	0	0	36.52	0	0	0	0	0	0	0
GCLC	13.61	0	0	0	71.58	0	0	0	0.52	1.63	3.29	118.44
NFYA	2.24	8.99	92.19	0.07	0	0.02	7.66	0	0.76	3.82	13.7	0
STPG1	0.01	0	0	0	32.47	20.93	0	1.89	0	0	2.82	0
NIPAL3	5.59	0	237.12	0	0	0	0	0	0.01	0	0	0
LAS1L	83.08	0	0	4.69	9.71	13.64	0	0	11.4	4.41	27.24	37.65
ENPP4	0.03	0	0	0	0	0	0	0	0	0	0.44	0
SEMA3F	0	0	0	0	0	0	0	0	2.83	6.22	0	0
CFTR	0	0	0	20.67	20.94	0	12.41	0	0	0	0	0
ANKIB1	0.61	0	0	0	0	0	0	0	2.34	0	4.45	28.24
CYP51A1	11.98	19.49	0	0	0	0	0	41.75	0.02	0.12	21.55	16.36
KRIT1	11.66	14.56	0	0	167.26	0	0	19.67	0	2.53	15.48	7.09
RAD52	0	0	0	0	0	0	0	0	0	0	0	0
MYH16_ENSG00000002079	0	0	0	0	0	0	0	0	0	0	0	0
BAD	0	0	0	0	0	0	0	0	0.62	0	0	0
LAP3	82.05	0	0	0	0	0	0	0	0	0	4.6	46.63
CD99	33.75	160.81	0	0	0	0	0	0	13.24	0.23	7.01	17.52
HS3ST1	0	0	0	0	6.22	0	0	0.02	0.31	2	0	1.06
AOC1	0.19	0.22	0	0	0	0	0	0	0	0	0	0
WNT16	0	0	0	0	0	0	0	0	0	0	0	0
HECW1	0	0	0	0	2.93	0	0	0	0	5.9	0	0
MAD1L1	2.13	0	0	0	107.53	0	20.2	0	62.54	3.48	37.46	18.94
LASP1	11.12	0	0	0	0	0	0	0	0	24.19	98.25	4.67
SNX11	5.18	0	0	0	0	0.04	2.59	0	0.03	0	5.7	0
TMEM176A	0.03	0	0	0	0	0	0	0	0	0	0	0
M6PR	12.73	0	402.16	2.82	650.95	0	0	0.23	0	12.77	68.7	12.19
KLHL13	0	0	0	0	0	0	0	0	0	0	0	0
CYP26B1	0	0	0	0	0	0	0	0	0.01	13.28	0	0
ICA1	0.01	0	0	0	0	0	0	0	0	0	0	0
DBNDD1	0.03	0	0	0	0	0	37.05	0	0	0	0	0
ALS2	11.6	0	0	0	14.9	0	16.65	0	0	1.02	6.53	0
CASP10	0.03	65.41	0	0	1.62	0	0	0	0	14.48	0	3.87
CFLAR	89.04	708.86	0	0	0	0	0	0	12.53	0.18	72.3	67.17
TFPI	0.09	0	0	0	52.81	0	0	0	0.01	0	0	0
NDUFAF7	15.98	0	0	0	284.75	7	0	0	0	13.37	91.03	0
RBM5	156.53	281.03	46.75	0	49.09	0	0	0	0	1.77	346.39	271.29
MTMR7	0.01	0	0	0	79.35	0	0	0	0	0	0	0
SLC7A2	0	0	0	0	7.22	0	0	0	0.01	0.41	0	0
ARF5	0.12	0	0	0	0	0	0	0	0	0	4.18	0
SARM1	5.06	0	28.5	3.97	7.23	0	0	0	0.61	2.84	0	0
POLDIP2	0.01	311.39	0	0	0	0	0	15.61	0	7.06	11.99	0
PLXND1	0.01	0	0	0	0	0	0	0	0	0	0	0
AK2	36.47	26.46	0.3	0	28.65	0	9.65	1.05	0	0	4.3	4.83
CD38	9.72	0	0	0	34.49	0.03	0	7.36	0.03	9.12	0	0
FKBP4	5.46	25.12	0	0	0	0	0	65.53	0.38	46.73	5.33	0
KDM1A	102.65	2.09	0	0	16.99	0.44	0	0	1.98	2.47	6.5	0
RBM6	74.12	0	32.9	0	223.39	3.05	0	0	0	8.22	42.91	144.85
CAMKK1	6.79	0	0	61.69	96.06	0.01	0	0	0	7	0	0
RECQL	10.52	47.47	0	0	0	0	12.14	0	12.29	11.14	10.84	1.29
VPS50	3.42	0	0	0	38.64	0	0	0	0	5.03	0	0
HSPB6	0	0	0	0	51.47	0	0	0	0	0	0	0
ARHGAP33	0	0	0	0	0	0	0	0	0.2	11.52	0	0
NDUFAB1	32.7	0	0	0	0	0	0	0	0	0	3.94	0
PDK4	0.05	0	0	0	26.61	0	0	0	0	0	9.3	0
SLC22A16	0	0	0	0	0	0	0	0	0	0	0	0
ZMYND10	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0	0	0.2	0	73.15	0	0	0	0	7.26	0	0
ARX	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A13	0	0	0	0	0	0	0	0	0	0	17.09	0
ST7	5.86	0	0	0	77.98	0	0	0	0	0	1.08	0
CDC27	27.46	0	0	0	96.99	0	0	0	0	7.99	8.18	7.41
SLC4A1	0	0	36.19	0	0	0	0	0	0	0	0	0
CALCR	0	0	0	0	0	0	0	0	0	0	0	0
HCCS	0.09	0	0	0	0	0	0	0	0	0	0	0
DVL2	3.99	0	0	0	0	0	0	0	0.13	0	1.19	0
PRSS22	0	0	0	219.87	0	0	0	19.17	0.03	0	0	0.1
