GeneSymbol	D4_ISO2_HEP_1	D4_ISO1_HEP_L_1	D4_ISO1_HEP_L_2	D4_ISO2_HEP_2	D4_INT_HEP_PI_1	D4_INT_HEP_PI_2	D4_INT_HEP_LPS_1	D4_INT_HEP_LPS_2	D4_INT_HEP_5OP_1	D4_INT_HEP_5OP_2	D4_INT_HEP_C_1	D4_INT_HEP_C_2	D4_INT_HEP_GL_C
TSPAN6	3.48	5.61	4.65	5.59	6.86	14.73	6.82	5.88	7.18	10.95	10	3.8	2.21
TNMD	0	0	0.52	1.3	0	0	0	0.45	0	0	0	0.16	0
DPM1	13.35	16.81	22.85	17.59	18.29	38.68	32.32	15.79	40.53	48.07	39.9	11.31	60.82
SCYL3	1.92	3.03	3.17	2.11	3.25	0.16	1.6	2.14	0.98	1.85	1.46	3.35	0
C1orf112	1.27	2.67	2.93	2.35	4.82	0.18	0.25	1.15	0.67	3.51	0	1.85	0
FGR	5.44	4.17	13.6	8.8	1.55	0	1.24	3.23	1.18	0.85	10.37	5.48	0
CFH	37.67	88.92	64.66	34.71	80.98	81.74	55.53	41.06	79.87	90.52	66.13	43.98	12.48
FUCA2	9.62	11.19	15.42	7.96	6.76	7.07	12.52	11.34	10.75	11.16	12.92	16	18.5
GCLC	16.68	30.42	17.97	19.59	25.33	9.16	8.22	33.31	6.08	10.86	10.14	43.02	0
NFYA	5.76	6.67	10.6	5.55	3.73	2.03	2.43	6.39	2.43	5.78	4.6	6.39	2.42
STPG1	28.81	8.2	34.27	26.46	0.54	2.83	3.48	26.21	0.91	5.13	1.12	10.9	0
NIPAL3	8.76	5.49	18.23	17.29	1.65	0.91	0.86	12.69	2.33	0.35	2.17	7.69	0
LAS1L	8.36	7.21	9.96	9.94	25.92	13.11	20.43	12.67	25.06	14.96	19.17	10.45	13.88
ENPP4	0.82	2.8	2.1	1.48	0.69	0.17	0.39	2.13	0.25	2.05	1.17	0.63	0
SEMA3F	0.7	0.76	1.4	2.19	0	0	0.29	0.54	0.04	0.19	0	2.52	0
CFTR	18.53	5.66	34.69	18.87	0	3.52	1.16	12.86	0.21	0.3	1.26	10.16	0
ANKIB1	7.62	8.94	8.49	10.15	6.31	1.52	8.26	9.72	2.78	4.49	8.04	7.96	5.75
CYP51A1	20.13	43.11	29.33	35.82	58.22	62.59	46.78	44.96	55.55	60.53	59.25	52.74	45.76
KRIT1	11.92	7.14	20.56	11.44	4.56	6.53	5.32	15.62	5.85	5.72	7.28	10.11	0
RAD52	4.71	2.72	15.68	10.59	0	0	0.24	3.05	0	0	0.02	6.39	0
MYH16_ENSG00000002079	0.2	0.13	0.29	0.3	0.23	0	0.08	0.11	0.31	0	0.43	0.18	0
BAD	4.01	6.89	11.92	4.39	8.21	6.19	4.85	4.23	3.71	17.37	5.82	8.7	0
LAP3	20.71	176.18	121.14	18.63	84.74	41.55	57.79	23.58	64.43	80.63	67.96	53.37	42.55
CD99	18.65	26.1	22.66	22.41	19.79	25.3	22.6	26.11	13.8	39.25	37.89	43.32	7.07
HS3ST1	4.39	2.54	7.58	4	0	0.06	0.11	4.07	0.17	0	0.1	3.38	0
AOC1	1.84	0.64	1.33	1.2	0	0	0.05	2.53	0	0	0.22	1.1	2.35
WNT16	2.03	0.74	3.7	2.68	0.45	0	0	0.92	0.12	0	0.06	1.74	0
HECW1	12.74	4.66	11.49	14.53	0.07	0.33	0.42	6.45	0.03	0.63	0.5	7.69	0
MAD1L1	12.03	12.72	19.76	22.59	32.41	13.65	6.5	17.27	0.92	3.76	9.09	32.52	0
LASP1	31.77	18.95	46.28	36.09	32.35	20.81	31.83	63.65	16.21	12.62	33.19	105.02	48.04
SNX11	5.74	2.96	6.77	3.62	2.29	6.47	1.23	5.09	3.83	1.42	0	6.5	24.86
TMEM176A	23.01	23.6	19.5	26.91	38.26	5.99	12.81	19.46	11.68	15.5	16.51	23.94	27.91
M6PR	15.63	43.54	34.51	36.1	50.01	61.91	26.77	32.55	24.66	39.6	53.14	63.08	130.35
KLHL13	1.25	1.1	2.84	2.12	0	1.02	0.54	1.87	0	0.32	0.77	1.04	0
CYP26B1	2.12	1.96	2.89	3.38	0	0.2	0.16	3.67	0	0	0.04	1.26	0
ICA1	5.01	14.28	35.79	9.04	0.58	0.34	1.34	9.87	1.27	0.16	2.63	21.7	0
DBNDD1	2.22	2.3	3.86	2.57	4.85	1.43	0.53	3.77	0.05	0.01	1.27	3.55	0
ALS2	19.34	11.33	27.48	19.35	7.93	18.04	5.9	16.4	14.23	9.18	10	21.63	1.12
CASP10	11.36	12.65	22.12	19.14	0.87	2.55	2.99	10.42	0.83	0.68	2.98	8.28	0
CFLAR	27.24	38.4	39.84	29.59	16.99	25.22	8.6	25.65	14.8	22.31	20.96	24.07	3.39
TFPI	85.57	222.41	114.02	101.24	406.25	345.45	307.84	129.56	366.85	381.91	403.84	164.79	152.59
NDUFAF7	4.72	2.52	7.43	7.44	9.53	5.1	9.99	6.74	8.49	7.94	2.71	6.68	0
