Mixture,TCRab CD8ab TRM,TCRab CD4 TRM,TCRgd TRM,TCRab CD4 Naive/TCM,TCRab CD4 FOXP3+ Treg,Tuft Cells,Colonocytes,Transit Amplifying Cells,SPIB+ Cells,Goblet Cells,Enteroendocrine Cells,P-value,Correlation,RMSE
D3_INT_EPIi_PI_1,0,0.0192606024460104,0.0153412951247326,0,0.00864718140713207,0,0,0.735030639173045,0.0230685950808946,0.198356472043855,0.000295214724330396,0,0.678451465472119,0.838004038332411
D3_INT_EPIi_PI_2,0,0.0192397875043245,0.00967729556891375,0,0.0112919709510876,0,0,0.726337243963309,0.0113408858571654,0.221835208812302,0.000277607342898332,0,0.746089145564765,0.813279277929811
D3_INT_EPIi_LPS_1,0,0.0231636073659149,0.0179436671528002,0,0.0151291404230404,0,0,0.732277194203854,0.00105221072825739,0.209529846308757,0.000904333817376311,0,0.733159205006453,0.816751187417254
D3_INT_EPIi_LPS_2,0,0.0220735762440428,0.00658625373704027,0,0.0118155386969263,0,0,0.779767718491446,0.0219297664026897,0.156457938107827,0.00136920832002837,0,0.80647550825188,0.793181813283162
D3_INT_EPIi_5OP_1,0,0.0210259067920802,0.0109242985076268,0,0.013565524671915,0,0,0.726302741612244,0.022182914677291,0.203872107092262,0.0021265066465807,0,0.679893523393912,0.836661534527688
D3_INT_EPIi_5OP_2,0,0.0132397281207186,0.0238009569372079,0,0.0229577373076901,0,0,0.770171132850086,0.0165790305030769,0.150033213033859,0.00321820124736213,0,0.646689394639387,0.847184609798642
D3_INT_EPIi_C_1,0,0.00713887284269372,0.0194167127285699,0,0.0245718712287082,0,0,0.742110818793401,0.00712230865006795,0.197343058852568,0.00229635690399143,0,0.676537596564381,0.836451863352886
D3_INT_EPIi_C_2,0,0.0081133828445155,0.00662486324139574,0,0.00700802127111647,0,0,0.713590287153159,0.0145388223719575,0.249722093560877,0.000402529556978676,0,0.735222613310906,0.816292500297099
D3_ISO1_EPIi_1,0,0.0637401741398807,0.0685151251530185,0,0.0242875738416912,0,0,0.576452284674091,0.0308929756408363,0.231606784034734,0.0045050825157478,0,0.660100748541874,0.838811083292174
D3_ISO1_EPIi_2,0,0.0377526051590992,0.0268176873151454,0,0.0280621558585893,0,0,0.600899573999643,0.0341438257168927,0.266560190506783,0.00576396144384707,0,0.718999180895852,0.82090775136597
