Mixture,TCRab CD8ab TRM,TCRab CD4 FOXP3+ Treg,TCRab CD4 TRM,TCRab CD4 Naive/TCM,TCRgd TRM,Colonocytes,Intestinal Stem Cells,Transit Amplifying Cells,Enteroendocrine Cells,SPIB+ Cells,Tuft Cells,Goblet Cells,P-value,Correlation,RMSE
D4_INT_EPIi_PI_1,0.086033659375142,0.018013099675053,0,0.087057776670395,0,0,0.111138493758858,0.51046800761512,0.00241377858303058,0.0102200328727296,0,0.174655151449672,0,0.812403928045752,0.584740573789848
D4_INT_EPIi_PI_2,0.0530898935395118,0.00933647164504733,0,0.0630300366901429,0,0,0.0925299153245717,0.595754312677813,0.00618300340085933,0.00878788866793238,0,0.171288478054122,0,0.826159814875725,0.565151939800519
D4_INT_EPIi_LPS_2,0.0504675528322149,0.0160881843162059,0,0.0635166542797314,0,0,0.116690347796579,0.566150129481559,0.00879864415281937,0.00699519527188459,0,0.171293291869006,0,0.818430993976992,0.576642238533145
D4_INT_EPIi_5OP_1,0.0780240392110181,0.0249922086615334,0,0.0988009110123698,0,0,0.0981168146683488,0.502545369215977,0.0126471510552851,0.00956872499490664,0,0.175304781180561,0,0.830490284661409,0.561543619419929
D4_INT_EPIi_5OP_2,0.0518192600842182,0.0165601294030422,0,0.0624591063190386,0,0,0.1066124848461,0.563228122270873,0.00764459669355179,0.00798349723481388,0,0.183692803148363,0,0.827451340043413,0.563213993072881
D4_INT_EPIi_C_1,0.0493668527014701,0.0208113004320439,0,0.0788985277284015,0,0,0.115782274096731,0.515156498887862,0.00904116385439476,0.00965261024312154,0,0.201290772055976,0,0.81212980416411,0.586286692982277
D4_INT_EPIi_C_2,0.0841541001163878,0.025034340043155,0,0.0929604443016239,0,0,0.156787000534973,0.414769887415779,0.0107458216599799,0.0120804630332671,0,0.203467942894834,0,0.798661855416752,0.609120854494048
D4_ISO1_EPIi_1,0.193228138068226,0.0674048221820701,0,0.0856312397516194,0,0,0.13868454386442,0.356343515503854,0.0201234367520387,0.00592226024861494,0,0.132662043629156,0,0.726831114323862,0.687964407112762
D4_ISO1_EPIi_2,0.176552114807047,0.040223636787047,0,0.0856449515851173,0,0,0.166135165503248,0.292275611015075,0.024084380949219,0.0071436869495383,0,0.207940452403708,0,0.753572214031865,0.665395165584072
D4_INT_EPIi_LPS_1,0.0786334520275637,0.0148385918703719,0,0.0911828841362138,0,0,0.0941268517073891,0.568759537043967,0.0119997649730232,0.0137425327988069,0,0.126716385442664,0,0.799839606867565,0.605153419216573
