Mixture,T Cells,NK,Macrophages,ILC,B Cells,Dendritic Cells,Plasma Cells,P-value,Correlation,RMSE
D3_ISO6_LTL_1,0.0205553266931059,0.171572004331029,0.168339989873014,0.542181751529464,0.082536466155531,0,0.014814461417856,0,0.780781412822333,0.80320794597971
D3_ISO6_LTL_2,0.0806424816669053,0.213526479300504,0.117539842912735,0.525052966895169,0.0341279896535942,0,0.0291102395710927,0,0.839498321732136,0.813390620486386
D3_ISO1_LTL_1,0.0687129955887975,0.185309246092193,0,0.365632780219426,0.222408298908165,0.152102633005343,0.00583404618607555,0,0.839763613846659,0.797559241235737
D3_ISO1_LTL_2,0.141409598560597,0.191736168856162,0.0131911420746259,0.415280995387974,0.112984501478574,0.107966993087653,0.0174306005544146,0,0.787538896334931,0.837382358849051
D3_INT_LTL_PI_1,0,0.208786820705737,0,0.0985625957432495,0.488955397592754,0.156285263719254,0.0474099222390064,0,0.74372145648792,0.779335063330477
D3_INT_LTL_PI_2,0.18577635649261,0.162489900369353,0.0348198273240506,0.192685371394669,0.275389474149285,0.0630036760479601,0.0858353942220723,0,0.660981724116691,0.832100567076235
D3_INT_LTL_LPS_1,0.070980718990272,0.147530560462151,0.0560971776325647,0.624880662680224,0.00213509040216548,0.0301719488102682,0.0682038410223545,0,0.567536803975901,0.889343296960698
D3_INT_LTL_LPS_2,0,0.0490665497875464,0,0.246694569299222,0.537115439758899,0.129081932775564,0.0380415083787686,0,0.64072301962385,0.830479773755807
D3_INT_LTL_5OP_1,0,0.410295092055005,0,0.243394760189162,0.186048054205566,0.108935932530288,0.0513261610199781,0,0.542767874191463,0.886594402560443
D3_INT_LTL_5OP_2,0,0.286483547295202,0,0.367850299749122,0.201057944570237,0.0715821764563029,0.0730260319291361,0,0.633288522592106,0.861571183771135
D3_INT_LTL_C_1,0.227870883524418,0.0534915075542829,0,0.375812614351984,0.140456274541391,0.0959589044417345,0.106409815586189,0,0.603289324587364,0.851768753034957
D3_INT_LTL_C_2,0,0.287164191268138,0.0899688353876801,0.279859203914468,0.193614806443301,0.0528357149207651,0.0965572480656484,0,0.800675807706234,0.760432417140026
