Mixture,ILC,T Cells,NK,Macrophages,Dendritic Cells,B Cells,Plasma Cells,P-value,Correlation,RMSE
D4_ISO1_LTL_1,0.0344314593285388,0.504632073512545,0.245401941752479,0.0170281871691204,0.022039742450918,0.173466451306324,0.00300014448007438,0,0.811408431955847,0.792531544224642
D4_ISO1_LTL_2,0.277856370541376,0.312558657456875,0.286266701672039,0.00428287191061626,0.0142497756601127,0.104714748631841,7.08741271405978e-05,0,0.792430597813801,0.820501192155644
D4_INT_LTL_PI_1,0.407315219240717,0.38191825075213,0.0634160094248184,0.00138615660963358,0.0505060780060853,0.0904179313903304,0.0050403545762854,0.02,0.232849700752119,0.975879285725848
D4_INT_LTL_PI_2,0.580466862691069,0.129453436905596,0.00882289898777608,0.0432497808471232,0,0.233930204209599,0.00407681635883677,0,0.515566306650989,0.922264570134662
D4_INT_LTL_LPS_1,0.563619062256452,0.303588882012133,0.0260675734628887,0.00891224775655322,0.0511964889730441,0.0297957970326875,0.0168199485062415,0,0.450326847553705,0.938539751126328
D4_INT_LTL_LPS_2,0.423377440430596,0.42603786763987,0.0497357883073513,0.0969440350714082,0,0,0.00390486855077477,0,0.749321843889133,0.820470376293575
D4_INT_LTL_5OP_1,0.547868905242588,0.287414503463388,0.0387699626340474,0.0094665825003295,0.048164096446671,0.0624996644532717,0.00581628525970428,0.08,0.0772183621369601,1.00310092202086
D4_INT_LTL_5OP_2,0.558118556433754,0.349719316179753,0,0.0668583251560332,0.0211077118361357,0,0.00419609039432418,0,0.633426851939879,0.882353331666242
D4_INT_LTL_C_1,0.521790782988101,0.283974305258782,0.0423900668455015,0.0681968518318774,0.0202255143224522,0.0515302832109978,0.011892195542288,0,0.770987988045788,0.8436107885153
D4_INT_LTL_C_2,0.469372531216121,0.397335514899366,0,0.0652855815918603,0.0318857704659245,0.0239667335620803,0.012153868264648,0,0.478372336176261,0.916229237653773
D4_ISO6_LTL_1,0.430208167351615,0.410172350736014,0.0374898670094166,0.0700922211990147,0,0.050461853249691,0.00157554045424802,0,0.695294916134033,0.856646327490343
D4_ISO6_LTL_2,0.233865721214526,0.531208009519836,0.105704269255599,0.0476771883068466,0,0.0793646449060146,0.00218016679717721,0,0.855396921809217,0.798456882966089
