Mixture,Memory B Cells,TCRab CD8 Mobile TRM,TCRab CD4 Mobile TRM,TCRab CD4 FOXP3+ Treg,TCRab CD8 TRM,TCRab CD4 TRM,TCRgd TRM,Plasma Cells,NK,cDC2,ILC1,TCRab DN Mobile TRM,TCRab CD8aa MAIT,M2-like CD16+ Macrophages,ILC3,TCRab CD8ab TRM,Naive B Cells,CD16- Conventional Monocytes,P-value,Correlation,RMSE
D3_ISO6_LP_1,0,0,0.173530630230558,0.205114982490359,0,0.0330052310961639,0.0639196261821875,0.00806565886368786,0.0458055141291709,0,0.198235619516908,0.0145641011400205,0.0514423020689584,0.0166554216429604,0.0489987175326476,0.0439959550889521,0.096666240017425,0,0,0.748709177528568,0.882097972671257
D3_ISO6_LP_2,0,0,0.247130164530357,0.201527788650438,0,0.0342265877323579,0.0700200895470889,0.00812828427730767,0.0544489390870984,0,0.124403993344367,0.00521064670633276,0.0883518421674787,0.0123509641052907,0.0507242343502858,0,0.103476465501597,0,0,0.77173576515107,0.873988087736758
D3_ISO1_LP_1,0.0492342836898806,0.00771724036921426,0.237964559076966,0.130910073502021,0.0283663310841845,0.240849975860058,0,0.00902094072789178,0.167009654578581,0.00522951135910401,0,0,0.0705714537539332,0,0,0,0.0531259759981654,0,0,0.790515921622198,0.841158918449944
D3_ISO1_LP_2,0.0595335972892297,0,0.244315341561973,0.18289447683034,0.035209851027262,0.190262344262375,0,0.00949334693139219,0.156642692280465,0.00655204732330925,0,0,0.0434783745900044,0,0,0,0.0716179279036498,0,0,0.827792229063429,0.830365970610158
D3_INT_LP_PI_1,0.008331502026949,0.0168147343787982,0,0.286507031087685,0,0,0.0170362508309919,0.030371185228419,0,0,0.285691701014456,0.062339128714502,0.0695878106760018,0.02866205255158,0.122673951294018,0,0.0719846521965992,0,0,0.545116982620821,0.916592137024334
D3_INT_LP_PI_2,0.117187419297563,0,0.0282760070258955,0.154235108123933,0.0475631161011497,0,0.0706737287880445,0.0553336616567144,0.0107417686183802,0.00749725979546685,0.316066364183637,0.00691093842478409,0.0496727535690563,0.0181977306417284,0.0236113487295428,0,0.0940327950441043,0,0,0.682966071597985,0.854455936105579
D3_INT_LP_LPS_1,0.224424497242885,0.020393047788938,0.251981408543586,0.112216354184532,0,0.00850652972200996,0.0389837367855794,0.0662314784084395,0.00980322124711656,0.000350482329835531,0.0640949388805479,0.00582672338814208,0.0433656585662332,0.0154267424735954,0.0189729293816291,0,0.119422251056931,0,0,0.73643504089582,0.813167281315005
D3_INT_LP_LPS_2,0.121227297229784,0,0.0332751813113926,0.108225085879395,0.0821431609422346,0.0375561910591599,0.0150066058079085,0.105749878345098,0.00418573149261097,0.00814222535942041,0.168582385101787,0.0175137359080256,0.0661360466806256,0.00284219874291761,0.0242760519476549,0,0.205138224191986,0,0,0.877301150972385,0.70401038939848
D3_INT_LP_5OP_1,0.0592824500974424,0,0.179970933696611,0.148462306301805,0.0628882449002516,0,0.124977149471946,0.10215691604009,0.0480184400462573,0,0.121584806843645,0.02374593452773,0.00206028190123879,0.00897426375566408,0.0171428392303504,0,0.100735433186968,0,0,0.729922586802873,0.801515337172658
D3_INT_LP_5OP_2,0.0853512300037117,0,0.168133306793733,0.128993857439481,0.0328347608960057,0.0241559243184334,0.138430636621428,0.0901005913006467,0.021841486660373,0,0.0513291788965586,0.0456154338823689,0.00648070591980887,0.0121389718983799,0.0677862808643949,0,0.126807634504676,0,0,0.829099201509489,0.770743881469339
D3_INT_LP_C_1,0.0457125766594149,0,0.137827926127745,0.146208538327206,0.0586345000469763,0.020090966131529,0.134113609732411,0.0591749915240056,0.0211386914844946,0,0.190885785994554,0.0267316974802309,0.0382388209997729,0.015408616472674,0.0407745498889529,0,0.0650587291300324,0,0,0.881738686404907,0.812739601711712
D3_INT_LP_C_2,0.0597756030323733,0,0.206525050815218,0.0809558729131842,0.0785945298630908,0.0528321353687948,0.0478228177947795,0.0967457532483363,0.0152378926209679,3.63412906775084e-05,0.145759990368342,0.0133219048722252,0.0446604839290354,0.0123926341573132,0.0450592300849066,0,0.100279759640756,0,0,0.871462123933527,0.755835543072075
