Mixture,TCRgd TRM,TCRab CD4 Mobile TRM,Memory B Cells,ILC1,Plasma Cells,TCRab CD4 TRM,TCRab CD8 Mobile TRM,TCRab CD8 TRM,TCRab CD4 FOXP3+ Treg,TCRab CD8ab TRM,M2-like CD16+ Macrophages,CD16- Conventional Monocytes,ILC3,TCRab DN Mobile TRM,cDC2,NK,Naive B Cells,P-value,Correlation,RMSE
D4_ISO1_LP_1,0,0.26513262360122,0.128242346676833,0,0.00429771699224099,0.0868326749589927,0.190300239874792,0.151695068132095,0.0952667236431399,0,0.000151357793963965,0,0,0,0.0245637620948797,0.0483883726003327,0.00512911363150965,0,0.698269211814554,0.872738453693936
D4_ISO1_LP_2,0,0.0959628851208091,0.136826203597852,0,0.000646580665305755,0,0.513412097005299,0.168445926308978,0.00974199205527061,0,0.00693260768677443,0,0,0.000171575462356049,0.0218025936082925,0.0384832904493087,0.0075742480397541,0,0.514595738804318,0.907225419348025
D4_INT_LP_PI_1,0.0691440039702471,0.0749096117479826,0.0764665580827428,0.177661579866145,0.00527109560010346,0.153890314149534,0,0.0366703120615402,0.157630749997609,0,0.01938361597502,0.0375748850237975,0.0948313430605403,0.0355589743623756,0,0.0132974161972806,0.0477095399050814,0,0.145329193458266,0.989500142578651
D4_INT_LP_PI_2,0.0691595124200724,0.0793619040139175,0.112247205645039,0.154235263019165,0.00463262849886153,0.0947843294685582,0,0.0404282409738835,0.122566439976533,0.122527528314657,0.0153949194689605,0.0497705503530829,0.0659484650339643,0.0173314524695868,0,0.0169671514299998,0.0346444089137189,0,0.114222405623236,0.994147030584338
D4_INT_LP_LPS_1,0.0410295500135719,0.0741657489470966,0.0113734278426825,0.398930942315111,0.00183632337906109,0.0325433869442217,0,0.0207385036609473,0.174674406149636,0.0348880362455309,0.0290306337598601,0.0243280613123276,0.107394844795677,0.0112263429488479,0,0.00506970623435729,0.0327700854510709,0,0.264790323809583,0.973167263576107
D4_INT_LP_LPS_2,0.0629692150584606,0.099721542034739,0.154680092849803,0.122406823858063,0.0305420703246419,0.0824036150369555,0,0,0.109943589774362,0.194468208073774,0.0128500792069704,0.0251282134725575,0.0493913369371256,0.00688490043614834,0,0.0138671214168792,0.0347431915195205,0,0.409943565301197,0.941466004821884
D4_INT_LP_5OP_1,0.0205404435208905,0,0.309961250970517,0.158904183455615,0.00250087956521566,0.0797993709613582,0.0528047405237967,0.104869323499178,0.0951422948230003,0,0.0232453319367847,0.00286333960913756,0.0869021600111093,0,0.0258961275064706,0.00621137266696747,0.0303591809499594,0,0.282643184985495,0.960758308484519
D4_INT_LP_5OP_2,0.0539679434127684,0.0234566271957282,0.257964150442448,0.10944325085953,0.00500614041995106,0.0824540756540679,0,0,0.0964385747196154,0.200679523377241,0.0172345257299009,0.0151344367612552,0.0656339624525984,0.0166460394621417,0.0163548233302361,0.0117646464846561,0.0278212796978616,0,0.359176919169808,0.947390431180544
D4_INT_LP_C_1,0.0547361890264345,0,0.264004670781829,0.109576849420302,0.0501473022848411,0.108841627260587,0,0,0.0729649173645418,0.178115683260553,0.0389105052384493,0,0.0610005603561392,0.0160594956841001,0.0196624225200733,0.00637411080491612,0.0196056659972339,0,0.520033466559029,0.892063531254726
D4_INT_LP_C_2,0.0686180576574589,0.263060112792548,0.219136564602058,0.109069103971042,0.014204611749142,0.0389186907467992,0,0,0.0589256664469472,0.107332697290479,0.0160096936442379,0.00837785737202104,0.0381372474849299,0.0274352066320114,0.00961956827987121,0.00175685466927162,0.019398066661183,0,0.502460396421894,0.924707690440785
D4_ISO6_LP_1,0,0,0.248327799414043,0.0279064338650491,0.0125324315257866,0.0495016626387941,0.200741594196109,0.13695849238514,0.084077015765848,0.189869904853129,0.0109971229904617,0,0.0153844859780035,0.00498537528328484,0.00571443948937985,0.00853681711841761,0.00446642449655289,0,0.790334185299117,0.86049512312632
D4_ISO6_LP_2,0.0326753397038268,0.348934663534707,0.282432480118976,0.0151070327102348,0.0190401820316162,0.013408307371326,0,0,0,0.172471339814691,0,0,0.033891341063762,0.0454533407712345,0.029326511247342,0.00268838054739077,0.00457108108489278,0,0.781116436115554,0.835615227797349
