Mixture,Conventional_CD4,Conventional_CD8,Treg,Unconventional_T/ILC,NK,Cycling_T/NK,Secretory,Absorptive,Stem,Transit_amplifying,Enteroendocrine,P-value,Correlation,RMSE
D4_INT_EPIi_PI_1,0,0.0497429204926061,0.0677034361973031,0.0158791741655375,0,0,0.0406346722421494,0.78265059126734,0,0.0433892056350638,0,0,0.737268117817932,1.25107238654034
D4_INT_EPIi_PI_2,0,0.0396706779447711,0.0399838553255111,0.0138039351429289,0,0,0.0364042327797539,0.822058602940136,0,0.0480786958668985,0,0,0.819686493160377,1.20413292498081
D4_INT_EPIi_LPS_2,0,0.0267444332800412,0.0252993681215819,0.0181877217422414,0,0,0.0322333493541879,0.870460310660014,0,0.027074816841934,0,0,0.76894204173294,1.36174101518345
D4_INT_EPIi_5OP_1,0,0.0314365341814459,0.0142611180093139,0.000447674349678782,0,0,0.0493232880590777,0.904531385400484,0,0,0,0,0.863967271227831,1.2832742512161
D4_INT_EPIi_5OP_2,0.0153134902894734,0.0120151154542404,0.00243182642284351,0,0,0.00425636400223333,0.02564317118948,0.940340032641729,0,0,0,0,0.832968333504545,1.38994700868329
D4_INT_EPIi_C_1,0,0.030218480442652,0.0287754736987015,0,0.0069773522353363,0,0.0206267018843081,0.870690004772806,0,0.0427119869661959,0,0,0.732602466514697,1.41474785461398
D4_INT_EPIi_C_2,0.00533735885823588,0.0210809629638651,0.0117385584826572,0.0141048711805616,0,0,0.039487850102419,0.903415202786436,0,0.00483519562582537,0,0,0.721936102848668,1.48548926458363
D3_INT_EPIi_PI_1,0,0.0395068741563289,0.0392706163620741,0.00231110104523427,0,0,0.0600627169189726,0.842568405540883,0,0.0162802859765073,0,0,0.683140617984313,1.43746575932044
D3_INT_EPIi_PI_2,0.00386431974135629,0.0329991763783569,0.0137358633187194,0,0.0041139936090514,0,0.0714178083057549,0.873868838646761,0,0,0,0,0.757682433018171,1.39498824742628
D3_INT_EPIi_LPS_1,0,0.0357307908391711,0.0394428310892399,0.00418391756451859,0,0,0.0492613685950483,0.871381091912022,0,0,0,0,0.729191797727446,1.41605012848491
D3_INT_EPIi_LPS_2,0,0.0354390720442227,0.0137941379888619,0,0,0.00108144187440562,0.043045276888595,0.906640071203915,0,0,0,0,0.828784841639958,1.33816614774609
D3_INT_EPIi_5OP_1,0,0.0347694478224913,0.00651553486487686,0,0,0.0093882579407582,0.0403955386454676,0.908931220726406,0,0,0,0,0.678838012087001,1.55218532177763
D3_INT_EPIi_5OP_2,0,0.072305405873171,0.0579325435561101,0.00962621053871986,0,0,0.0165883496818036,0.742363340581278,0,0.101184149768917,0,0,0.682959555871649,1.26647771013486
D3_INT_EPIi_C_1,0,0.0562304420289391,0.0758190218020415,0.00641996949461818,0,0,0.0286810121572174,0.679463683259291,0,0.153385871257893,0,0,0.695232148430105,1.16850083733708
D3_INT_EPIi_C_2,0.0320811211126949,0.0267287092788577,0.00281695841603708,0,0,0.00972322645445116,0.0447556669026184,0.883894317835341,0,0,0,0,0.7321569728883,1.43392800255732
D4_ISO1_EPIi_1,0.0292530755989237,0.00839816295254584,0,0,0,0.00852685177648195,0.0582772033517281,0.89554470632032,0,0,0,0,0.635019636962517,1.59325160316708
D4_ISO1_EPIi_2,0.00105858822392455,0.0290659762526793,0.0055282483483456,0,0.00456165152180192,0.00364746440839048,0.0744550299232498,0.881683041321608,0,0,0,0,0.65247902375476,1.55411969704192
D3_ISO1_EPIi_1,0,0.0573561002194781,0.0738004891475637,0.0225657613664194,0,0,0.0596433473154966,0.702213503436731,0,0.0844207985143108,0,0,0.637942458024826,1.26993508382344
D3_ISO1_EPIi_2,0,0.0279562728116158,0.0106356316024442,0,0.00628789726377356,0.00254055467242998,0.0717470223367164,0.88083262131302,0,0,0,0,0.709805341900664,1.47516390390275
D4_INT_EPIi_LPS_1,0,0.012064880257197,0.0100228334233058,0,0,0.00465132923478354,0.0479851052328711,0.925275851851843,0,0,0,0,0.913466689373,1.24520381326468
