Mixture,T cells,B cells,Plasma cells,Mono+mono derived cells,Circulating NK/NKT,Resident NK,cDC1s,cDC2s,Macrophages,pDCs,Basophils,Neutrophils,Mig.cDCs,P-value,Correlation,RMSE
D3_ISO6_LTL_1,0.354852970333295,0.243410330416064,0.0226135472062899,0.230613694369346,0.0544620149864615,0.0337184551429951,0,0,0.000977152428903175,0.0593518351166458,0,0,0,0,0.696017564801953,0.837459952426562
D3_ISO6_LTL_2,0.383614375831586,0.183829464859614,0.0380675084918099,0.205000657669229,0.107754397286479,0,0,0.0247897980220733,0,0.046649513514322,0.00106134844819574,0,0.0092329358766914,0,0.775887978171664,0.809156391090845
D4_ISO1_LTL_1,0.331957326189324,0.0976966964930225,0.00940277500553336,0.0421155014623534,0.134750055071653,0.264155251886054,0.00335706667385096,0.00257441157910595,0.0267450251910679,0.0265507010929715,0.000514028652862372,0,0.0601811607022011,0,0.817871738176335,0.808903396109576
D4_ISO1_LTL_2,0.487247421600207,0.0689297459122288,0.00575348888787196,0.0725936386229027,0.120421347194549,0.153579465731584,0.000568680828142224,0,0.0092594516945295,0.0244054908340709,0.00103775469592426,0,0.0562035139979893,0,0.720998752851972,0.85275517397913
D3_ISO1_LTL_1,0.210320524721892,0.221075557535594,0.0139489418698127,0.157936318617848,0.0991577320928049,0.0902109730786221,0.000353776737108834,0.104573939413976,0,0.0553168726168548,0,0,0.0471053633154871,0,0.610181117716153,0.838074147910515
D3_ISO1_LTL_2,0.140229560037966,0.296109498792031,0.0176855248270136,0.0930153237338505,0.1163641491993,0.152899501549845,0,0.128295852928357,0,0.0260330678689082,0.000824575289100811,0,0.0285429457736277,0,0.619902989694317,0.845251194911945
D3_INT_LTL_PI_1,0,0.314468541735243,0.0066609767409844,0.114758632707545,0.130128264245734,0.0823962182774289,0.0632410958050646,0.0851097984292399,0.0176518908831947,0.0665143321670583,0,0,0.119070249008507,0,0.68846485001739,0.745546929510313
D3_INT_LTL_PI_2,0.291389630289475,0.42399324566647,0.030049066002919,0.0660447823825776,0.0633211335357233,0,0.0138113483204906,0.0198798461152605,0.0312446772766009,0.0320023056066733,0.002408036027752,0,0.0258559287760578,0,0.596137912304769,0.864653325983273
D3_INT_LTL_LPS_1,0.422407237506244,0.105183337498442,0.0495597046163933,0.169827805318007,0.0917135037672987,0,0,0,0,0.158857862040825,0.00245054925279079,0,0,0,0.500884486138516,0.902752145494595
D3_INT_LTL_LPS_2,0.155821405346099,0.3536656834725,0.00403922183164257,0,0.0894059255368366,0.00271463654450919,0.0289484617395405,0.178506281600196,0.0206815713150694,0.0790349286832946,0.0412987562180983,0.0300549177885584,0.0158282099236559,0,0.577384726172489,0.838813682751271
D3_INT_LTL_5OP_1,0.00569822870329015,0.369082591929199,0.0189519507871355,0,0.408168945012249,0,0,0.106222973471439,0,0.00798298519743675,0,0.0444641804402403,0.0394281444590095,0,0.609145262780231,0.863625240719054
D3_INT_LTL_5OP_2,0.168998617768151,0.407106660398249,0.0420588317596032,0,0.0226132575167096,0.100062291276926,0,0.176612280639151,0,0.0397424000229759,0,0,0.0428056606182345,0,0.418926113912266,0.912519598132016
