Mixture,Conventional_CD4,Unconventional_T/ILC,Conventional_CD8,Mature_B,Treg,Macrophage,B_plasma,NK,Cycling_T/NK,DC,Monocyte,P-value,Correlation,RMSE
D3_ISO6_LP_1,0.145305963264763,0.0530356345481644,0.0898670068568274,0.120443837027601,0.149417674966692,0.025705986341039,0.00151738218615962,0.0316966258260925,0.278636885443728,0,0.104373003538933,0,0.822720409731075,0.961154300963808
D3_ISO6_LP_2,0.109761287750403,0.0145633668603184,0.0421242085961189,0.132476777339725,0.142708660264446,0.021995668280706,0.00132068777604746,0.0879341535431824,0.325004331839421,0,0.122110857749631,0,0.851008879107993,0.957010631279371
D4_ISO1_LP_1,0.0614727669970341,0.0181226997977091,0.0599691187281282,0.226867146608367,0.12947944377053,0.0235441187059567,0.00172701773506782,0.0774504645560953,0.320529503421533,0.0466592039104854,0.0341785157690931,0,0.844570870453333,0.954429242196136
D4_ISO1_LP_2,0,0.246425973121006,0.305418032063601,0.265987210998531,0.00297293535087936,0,0.000230972108852917,0,0.140991946348518,0.0361289585986521,0.00184397140996011,0,0.520109178185547,0.97681205829613
D3_ISO1_LP_1,0.0384987179488295,0.0211696182492533,0.0510101878530503,0.135656105619678,0.11579154824834,0.0197241925583123,0.00127447899478756,0.0724836366423957,0.492401276791158,0.00917861865615329,0.0428116184380411,0,0.873549307839901,0.955053182569091
D3_ISO1_LP_2,0.0468232369390992,0.0440524464594269,0.0671847738569647,0.171286892256604,0.12425872041914,0.0189357767634654,0.00181805808021609,0.0732057855091871,0.396493843608772,0.0289556024423454,0.026984863664779,0,0.893915161455384,0.954805096539673
D4_INT_LP_PI_1,0.236433940681616,0.056617517845763,0,0.22171654285981,0.189007461461751,0.0157712541242596,0.00229305941785007,0.0676426713393511,0.130117141566543,0,0.0804004107030564,0,0.356368668883966,0.985100195365504
D4_INT_LP_PI_2,0.20471809621524,0.0418484836103906,0.00171317443308405,0.298459242064317,0.176159894529307,0.0236565227232424,0.00162917771701621,0.0348516607459583,0.150827396130316,0,0.0661363518311279,0,0.403608577533589,0.981210091896778
D4_INT_LP_LPS_1,0.136345919442932,0.120871581570798,0.0259129382227411,0.227530607381856,0.280074346489965,0.017083277536974,0.00510207068757255,0.00660278454521987,0.137785075407904,0.00271456881317523,0.0399768299008625,0,0.145863764320477,0.994316781914719
D4_INT_LP_LPS_2,0.178045099099866,0.0534878520829609,0.0236026324109176,0.184823551585591,0.23791323426995,0.0531757309674601,0.0165615570463453,0.0277647784463339,0.120739546040956,0,0.10388601804962,0,0.794972155936919,0.940827027559723
D4_INT_LP_5OP_1,0.170656718007478,0.0455004357923982,0.00738702330599243,0.416790160418273,0.139831717925094,0,0.00149774897847817,0.0685368172368002,0.0311481303630877,0.0944776572696652,0.0241735907027327,0,0.522405949975394,0.968679593915878
D4_INT_LP_5OP_2,0.213882683597041,0.0591366202304162,0.0417950259154609,0.328074948040762,0.13866649840879,0.0458004722501957,0.00154153801553141,0.0285650700601733,0.0606016819594216,0.0269221398032535,0.0550133217189543,0,0.620925501353021,0.966389882589327
D4_INT_LP_C_1,0.10888716267324,0.0148863584454239,0.0570698243480235,0.368256991579437,0.119138255379751,0.033492664216764,0.00185749225072175,0,0.165309589393451,0.0708505871337048,0.0602510745794829,0,0.693210183157304,0.954827238763654
D4_INT_LP_C_2,0.114953096004923,0.0210630231506889,0.0347052475625176,0.401229549165333,0.13429737815112,0.0580082163657027,0.0110024455700242,0,0.137359639676269,0.0261723285732717,0.0612090757801506,0,0.709009982220091,0.94759992518793
D3_INT_LP_PI_1,0.0481006694964412,0.0882413816856942,0,0.396114222599713,0.155968056369712,0.0174005511503931,0.0392671603839964,0.0320009649920234,0.141973973973109,0.0809330193489173,0,0,0.623777615822048,0.915705880953719
D3_INT_LP_PI_2,0.140978433555307,0.0132261622619151,0.00617715964812364,0.333353743263672,0.144068009534518,0,0.0264435297622408,0.0413476551813059,0.102571562213233,0.160491847803291,0.0313418967763932,0,0.848761159898239,0.905270861279777
D3_INT_LP_LPS_1,0.14213931791082,0.0268609912919995,0.0466793611007426,0.433683955463824,0.159087399050713,0.0351034580584579,0.0379599020435718,0,0.028614483389235,0.0563417596033911,0.0335293720872453,0,0.854128503094359,0.880949177964147
D3_INT_LP_LPS_2,0.085517378393729,0,0.0158806811349822,0.456034872237625,0.108719275095887,0,0.037324444267193,0.0426790102850072,0.135725023578245,0.106970306132045,0.0111490088752873,0,0.85768275193363,0.879467783023385
D3_INT_LP_5OP_1,0.112365133034104,0.0848511240119473,0,0.396855961840266,0.148184298553081,0,0.0478170303421851,0.0860649308915548,0.0319378097650811,0.0795957838191599,0.012327927742621,0,0.876596090316597,0.854372113231982
D3_INT_LP_5OP_2,0.129361460695879,0.107085344285089,0.0792339365838063,0.370495758247936,0.123563486839897,0.0276842361789915,0.0249034864763041,0.00621585218718694,0.0883863935483558,0.0250415060704187,0.0180285388861352,0,0.868900160771026,0.914467539629131
D3_INT_LP_C_1,0.109756066957502,0.116696866171038,0.0267269670562303,0.297244165507822,0.140670435290838,0.0396940783727799,0.0152593141134574,0.0313023744102945,0.160404113815265,0.0330885571879196,0.0291570611168536,0,0.847405519789742,0.936793402461343
D3_INT_LP_C_2,0.170344252403813,0.0245715025700376,0.0605456376718054,0.33348375179507,0.148935377078174,0.0123314819359205,0.026970844560852,0.0224425322070697,0.115914777033044,0.0617606086402053,0.0226992341040086,0,0.931446212302292,0.901591695083112
D4_ISO6_LP_1,0.124549336386092,0.0818343386988778,0.173234478808756,0.221282724151942,0.149871649323347,0.023455861805464,0.00295243995192126,0.0415905256005319,0.0880330507883621,0.0355395148543621,0.0576560796303439,0,0.880648081958136,0.95771545666749
D4_ISO6_LP_2,0.14687701421958,0.0418223363811087,0.0552560218829908,0.351360294327784,0.145967966154265,0.023799137265904,0.0062006182668493,0.0279951866352757,0.0770534029314269,0.109226822848701,0.0144411990861152,0,0.812733254256566,0.945767344720348
