GeneSymbol	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells
AL627309.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL627309.5	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0
AP006222.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01409	5.0	5.0	3.0	5.0	3.0	2.0	3.0	5.0	7.0	3.0
FAM87B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01128	13.0	11.0	8.0	5.0	7.0	6.0	11.0	8.0	11.0	10.0
LINC00115	3.0	2.0	3.0	4.0	2.0	3.0	6.0	3.0	2.0	5.0
FAM41C	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
AL645608.6	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
AL645608.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC02593	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0
SAMD11	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
NOC2L	15.0	14.0	9.0	14.0	19.0	11.0	22.0	19.0	14.0	12.0
KLHL17	2.0	2.0	2.0	3.0	3.0	2.0	3.0	4.0	3.0	2.0
PLEKHN1	2.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
PERM1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL645608.7	3.0	3.0	2.0	2.0	4.0	2.0	3.0	3.0	4.0	1.0
HES4	1.0	2.0	3.0	4.0	4.0	3.0	2.0	3.0	1.0	0.0
ISG15	61.0	16.0	13.0	59.0	10.0	12.0	16.0	59.0	63.0	13.0
AL645608.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGRN	5.0	6.0	11.0	8.0	11.0	7.0	13.0	10.0	8.0	6.0
AL645608.8	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0
RNF223	46.0	52.0	50.0	45.0	45.0	39.0	44.0	40.0	41.0	28.0
C1orf159	17.0	12.0	10.0	17.0	13.0	9.0	12.0	15.0	16.0	13.0
AL390719.3	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0
LINC01342	4.0	7.0	6.0	5.0	7.0	3.0	5.0	5.0	7.0	3.0
AL390719.2	2.0	4.0	3.0	4.0	1.0	5.0	4.0	3.0	4.0	2.0
TTLL10-AS1	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
TTLL10	2.0	2.0	2.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0
TNFRSF18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SDF4	23.0	31.0	30.0	24.0	30.0	20.0	23.0	24.0	26.0	17.0
B3GALT6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1QTNF12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL162741.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UBE2J2	6.0	3.0	5.0	5.0	9.0	5.0	3.0	2.0	5.0	3.0
LINC01786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCNN1D	0.0	2.0	2.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0
ACAP3	13.0	15.0	14.0	10.0	13.0	13.0	13.0	16.0	10.0	11.0
PUSL1	7.0	5.0	4.0	5.0	5.0	5.0	4.0	2.0	3.0	3.0
INTS11	30.0	27.0	24.0	27.0	27.0	26.0	29.0	28.0	30.0	26.0
CPTP	2.0	6.0	5.0	5.0	5.0	4.0	3.0	5.0	3.0	3.0
TAS1R3	1.0	3.0	2.0	2.0	2.0	4.0	4.0	4.0	2.0	2.0
DVL1	6.0	5.0	8.0	6.0	5.0	5.0	9.0	12.0	10.0	6.0
MXRA8	2.0	1.0	2.0	0.0	2.0	2.0	1.0	1.0	1.0	1.0
AURKAIP1	66.0	55.0	42.0	69.0	67.0	73.0	62.0	65.0	47.0	58.0
CCNL2	27.0	23.0	24.0	26.0	33.0	28.0	34.0	29.0	26.0	24.0
MRPL20-AS1	1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0
MRPL20	18.0	17.0	10.0	17.0	16.0	18.0	19.0	13.0	15.0	20.0
AL391244.2	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
ANKRD65	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0
AL391244.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01770	1.0	2.0	2.0	2.0	2.0	1.0	1.0	0.0	2.0	1.0
VWA1	3.0	2.0	1.0	5.0	4.0	4.0	6.0	7.0	4.0	4.0
ATAD3C	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0
ATAD3B	16.0	8.0	13.0	15.0	10.0	9.0	11.0	11.0	12.0	9.0
ATAD3A	5.0	7.0	5.0	6.0	9.0	7.0	7.0	4.0	6.0	2.0
TMEM240	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
SSU72	8.0	9.0	8.0	11.0	13.0	12.0	12.0	10.0	13.0	13.0
AL645728.1	9.0	11.0	9.0	10.0	15.0	11.0	8.0	14.0	9.0	10.0
FNDC10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL691432.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL691432.2	3.0	6.0	5.0	3.0	4.0	3.0	4.0	2.0	5.0	1.0
MIB2	16.0	11.0	16.0	20.0	19.0	17.0	17.0	22.0	22.0	19.0
MMP23B	1.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0
CDK11B	24.0	24.0	25.0	25.0	26.0	20.0	24.0	18.0	19.0	20.0
FO704657.1	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
SLC35E2B	5.0	8.0	5.0	7.0	10.0	7.0	7.0	6.0	10.0	3.0
CDK11A	23.0	30.0	29.0	33.0	28.0	26.0	31.0	29.0	28.0	21.0
SLC35E2A	4.0	6.0	5.0	6.0	3.0	6.0	7.0	4.0	5.0	2.0
NADK	8.0	6.0	9.0	12.0	11.0	10.0	16.0	14.0	13.0	9.0
GNB1	19.0	25.0	21.0	20.0	23.0	27.0	25.0	17.0	26.0	22.0
AL109917.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CALML6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM52	1.0	2.0	0.0	3.0	1.0	2.0	0.0	1.0	3.0	3.0
CFAP74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL391845.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GABRD	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
AL391845.1	1.0	1.0	2.0	1.0	3.0	1.0	1.0	2.0	0.0	1.0
PRKCZ	11.0	15.0	8.0	3.0	10.0	12.0	7.0	7.0	5.0	7.0
AL590822.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
